Security,C 1 COMB Comdty,
Start Date,12/9/2020 0:00,
End Date,12/10/2025 0:00,
Period,D,
Currency,USd,
,,
Date,PX_LAST,PX_VOLUME
12/10/2025,#N/A N/A,0
12/9/2025,440.75,873
12/8/2025,436.25,1738
12/5/2025,436.75,1038
12/4/2025,437.75,1242
12/3/2025,431.5,1340
12/2/2025,438,2267
12/1/2025,432.75,3265
11/28/2025,435.5,8642
11/26/2025,431.75,158325
11/25/2025,423.5,227795
11/24/2025,423.75,227312
11/21/2025,425.5,194578
11/20/2025,426.5,195292
11/19/2025,429.75,198902
11/18/2025,436.75,162294
11/17/2025,434.75,219642
11/14/2025,430.25,411585
11/13/2025,441.5,400924
11/12/2025,435.25,271699
11/11/2025,432,221848
11/10/2025,429.75,220392
11/7/2025,427.25,186066
11/6/2025,428.75,228266
11/5/2025,435.25,201307
11/4/2025,431.5,183033
11/3/2025,434.25,207957
10/31/2025,431.5,214312
10/30/2025,430.25,301183
10/29/2025,434,239879
10/28/2025,432,378016
10/27/2025,428.75,295622
10/24/2025,423.25,211852
10/23/2025,428,206571
10/22/2025,423,186819
10/21/2025,419.75,181051
10/20/2025,423.25,179465
10/17/2025,422.5,185452
10/16/2025,421.75,304262
10/15/2025,416.75,195171
10/14/2025,413,192433
10/13/2025,410.75,181175
10/10/2025,413,233653
10/9/2025,418.25,207206
10/8/2025,422,167360
10/7/2025,419.75,219828
10/6/2025,421.75,141859
10/3/2025,419,179524
10/2/2025,421.75,192896
10/1/2025,416.5,285170
9/30/2025,415.5,279177
9/29/2025,421.5,146154
9/26/2025,422,131813
9/25/2025,425.75,146851
9/24/2025,424.25,134256
9/23/2025,426.25,145931
9/22/2025,421.75,189769
9/19/2025,424,162409
9/18/2025,423.75,113263
9/17/2025,426.75,146851
9/16/2025,429.5,178779
9/15/2025,423.25,192792
9/12/2025,399,37
9/11/2025,399,120
9/10/2025,397.25,57
9/9/2025,401.25,146
9/8/2025,403,549
9/5/2025,399,417
9/4/2025,399.75,863
9/3/2025,397.75,1025
9/2/2025,403,1546
8/29/2025,398,7520
8/28/2025,385.5,81216
8/27/2025,382.5,108482
8/26/2025,387.5,170218
8/25/2025,389.25,123992
8/22/2025,388.25,108358
8/21/2025,387.25,116898
8/20/2025,380,109776
8/19/2025,379.5,79845
8/18/2025,383,104730
8/15/2025,383.75,129521
8/14/2025,375,112000
8/13/2025,374,167774
8/12/2025,371.5,252732
8/11/2025,385,180486
8/8/2025,382.75,174531
8/7/2025,384.5,154983
8/6/2025,379.75,151730
8/5/2025,381.5,166267
8/4/2025,387,133486
8/1/2025,389.5,111475
7/31/2025,394,124175
7/30/2025,391.75,132091
7/29/2025,389.25,169994
7/28/2025,393.75,141670
7/25/2025,399.5,97166
7/24/2025,401.75,111447
7/23/2025,398.5,92982
7/22/2025,399.25,114958
7/21/2025,403.75,112066
7/18/2025,408.5,127464
7/17/2025,402,103691
7/16/2025,405.25,163241
7/15/2025,401.25,182568
7/14/2025,412.75,76
7/11/2025,403,315
7/10/2025,407.25,571
7/9/2025,412.5,349
7/8/2025,411,573
7/7/2025,418,709
7/3/2025,431.5,1493
7/2/2025,429.25,3639
7/1/2025,420,4103
6/30/2025,420.5,12555
6/27/2025,417.5,106238
6/26/2025,409.5,159014
6/25/2025,410.25,144137
6/24/2025,416.25,192057
6/23/2025,419.25,197265
6/20/2025,428.75,189743
6/18/2025,433.5,225878
6/17/2025,431.5,231168
6/16/2025,434.75,177619
6/13/2025,444.5,179124
6/12/2025,438.5,190442
6/11/2025,437,201677
6/10/2025,438.75,245097
6/9/2025,433.5,228598
6/6/2025,442.5,229798
6/5/2025,439.5,199450
6/4/2025,438.75,220751
6/3/2025,438.5,209493
6/2/2025,438.25,211154
5/30/2025,444,140113
5/29/2025,447,157586
5/28/2025,451,196402
5/27/2025,459.5,153148
5/23/2025,459.5,167356
5/22/2025,463,192800
5/21/2025,461,201425
5/20/2025,454.5,194894
5/19/2025,447.5,179623
5/16/2025,443.5,173410
5/15/2025,448.5,191182
5/14/2025,438.5,44
5/13/2025,436,66
5/12/2025,440.25,205
5/9/2025,441.5,240
5/8/2025,439,438
5/7/2025,441,617
5/6/2025,447.5,466
5/5/2025,446.5,1098
5/2/2025,461.25,2624
5/1/2025,464.25,3008
4/30/2025,467.25,10991
4/29/2025,460.5,100359
4/28/2025,475.5,176588
4/25/2025,478.75,129454
4/24/2025,477.25,146915
4/23/2025,472,147853
4/22/2025,475.75,152079
4/21/2025,481.75,128840
4/17/2025,482.25,117566
4/16/2025,484.25,136221
4/15/2025,481.25,178411
4/14/2025,485,201393
4/11/2025,490.25,284335
4/10/2025,483,326270
4/9/2025,474,257173
4/8/2025,469,255177
4/7/2025,464.5,216782
4/4/2025,460.25,212888
4/3/2025,457.5,203152
4/2/2025,457.75,159591
4/1/2025,461.75,179571
3/31/2025,457.25,282804
3/28/2025,453.25,206960
3/27/2025,450,170192
3/26/2025,451.25,154487
3/25/2025,457.75,148189
3/24/2025,464.5,125182
3/21/2025,464.25,182427
3/20/2025,469,219751
3/19/2025,462,185225
3/18/2025,458.75,177170
3/17/2025,461,180875
3/14/2025,445.5,32
3/13/2025,453.5,101
3/12/2025,448.75,233
3/11/2025,456.5,76
3/10/2025,458.75,479
3/7/2025,455.25,311
3/6/2025,449.5,668
3/5/2025,440.25,1169
3/4/2025,436,2273
3/3/2025,440.25,3364
2/28/2025,453.5,7600
2/27/2025,464.75,86413
2/26/2025,478.25,101750
2/25/2025,479.75,116438
2/24/2025,482.5,189315
2/21/2025,491.25,168137
2/20/2025,498,163804
2/19/2025,497.5,210080
2/18/2025,502,238775
2/14/2025,496.25,195600
2/13/2025,493.5,269316
2/12/2025,490.25,271391
2/11/2025,484,311257
2/10/2025,491.5,250904
2/7/2025,487.5,287303
2/6/2025,495.25,299134
2/5/2025,493.25,226004
2/4/2025,494.5,279780
2/3/2025,488.75,322166
1/31/2025,482,318483
1/30/2025,490.25,218110
1/29/2025,497,277207
1/28/2025,485.25,225855
1/27/2025,482,216234
1/24/2025,486.5,208959
1/23/2025,489.75,250550
1/22/2025,484.25,264538
1/21/2025,490,295105
1/17/2025,484.25,305007
1/16/2025,474.5,209824
1/15/2025,478.75,218140
1/14/2025,474.5,278017
1/13/2025,476.5,376883
1/10/2025,470.5,467086
1/9/2025,456,157712
1/8/2025,454,192588
1/7/2025,458,211629
1/6/2025,457.75,227403
1/3/2025,450.75,199340
1/2/2025,459.5,163449
12/31/2024,458.5,172882
12/30/2024,452.25,217069
12/27/2024,454,162024
12/26/2024,453.75,176165
12/24/2024,448.5,88153
12/23/2024,447.75,132878
12/20/2024,446.25,191422
12/19/2024,440.75,182519
12/18/2024,437.25,176178
12/17/2024,443.5,164416
12/16/2024,445,157167
12/13/2024,430,17
12/12/2024,431.75,334
12/11/2024,438,570
12/10/2024,440.5,1685
12/9/2024,434,1586
12/6/2024,430.75,1372
12/5/2024,426.5,2566
12/4/2024,422,1723
12/3/2024,423.25,4091
12/2/2024,424.5,3895
11/29/2024,423,7903
11/27/2024,415.75,145009
11/26/2024,420,210241
11/25/2024,424.75,226269
11/22/2024,425.5,159873
11/21/2024,426.75,187445
11/20/2024,430.25,224875
11/19/2024,427.25,215160
11/18/2024,429.25,190964
11/15/2024,424,218570
11/14/2024,419,292267
11/13/2024,426.5,235165
11/12/2024,428.5,250503
11/11/2024,430,250205
11/8/2024,431,347310
11/7/2024,427.5,310584
11/6/2024,426.25,283193
11/5/2024,418.5,167928
11/4/2024,416.5,219138
11/1/2024,414.5,197406
10/31/2024,410.75,238814
10/30/2024,411.5,170092
10/29/2024,413.75,197431
10/28/2024,410.75,251359
10/25/2024,415.25,247609
10/24/2024,421.5,287987
10/23/2024,419,246005
10/22/2024,416.5,267224
10/21/2024,409.5,241760
10/18/2024,404.75,193538
10/17/2024,406.75,255482
10/16/2024,404.75,214285
10/15/2024,401.25,305403
