Security,C 2 COMB Comdty,
Start Date,12/9/2020 0:00,
End Date,12/10/2025 0:00,
Period,D,
Currency,USd,
,,
Date,PX_LAST,OPEN_INT
12/10/2025,447.25,#N/A N/A
12/9/2025,448,#N/A N/A
12/8/2025,443.75,724884
12/5/2025,444.75,727826
12/4/2025,447.25,730678
12/3/2025,443.5,730114
12/2/2025,450,738669
12/1/2025,445,727008
11/28/2025,447.75,739987
11/26/2025,445.25,745324
11/25/2025,438.25,716267
11/24/2025,436.75,682949
11/21/2025,437.5,646444
11/20/2025,437.75,619695
11/19/2025,441.5,598157
11/18/2025,449.5,585736
11/17/2025,448,579528
11/14/2025,444,576329
11/13/2025,455.5,563744
11/12/2025,449.25,512494
11/11/2025,447,506392
11/10/2025,444.5,502897
11/7/2025,442,477537
11/6/2025,443,468140
11/5/2025,449.5,462888
11/4/2025,444.75,451453
11/3/2025,446.75,447211
10/31/2025,444,441115
10/30/2025,443.75,443530
10/29/2025,446.75,438246
10/28/2025,446,437468
10/27/2025,444.25,437982
10/24/2025,437,435038
10/23/2025,441.25,429374
10/22/2025,435.75,420528
10/21/2025,433.75,413917
10/20/2025,437,404995
10/17/2025,436.5,401025
10/16/2025,435.5,400742
10/15/2025,432.25,388722
10/14/2025,429.25,386430
10/13/2025,427.25,381785
10/10/2025,429,381786
10/9/2025,434,364859
10/8/2025,437.75,358612
10/7/2025,436.25,358443
10/6/2025,438.25,342502
10/3/2025,435.75,338053
10/2/2025,438,338405
10/1/2025,432.75,334085
9/30/2025,432,323250
9/29/2025,438.5,314597
9/26/2025,438.75,309694
9/25/2025,442.25,305728
9/24/2025,441,302416
9/23/2025,443,301454
9/22/2025,438.75,302836
9/19/2025,441.25,305612
9/18/2025,441.5,300309
9/17/2025,444.5,297580
9/16/2025,447,298059
9/15/2025,441,292165
9/12/2025,430,849543
9/11/2025,419.75,851601
9/10/2025,417,847269
9/9/2025,419.75,849058
9/8/2025,421.75,848697
9/5/2025,418,852452
9/4/2025,419.75,859314
9/3/2025,418,861943
9/2/2025,423,870263
9/1/2025,#N/A N/A,871196
8/29/2025,420.25,871220
8/28/2025,410,874978
8/27/2025,406,854543
8/26/2025,409.5,838348
8/25/2025,412.25,834884
8/22/2025,411.5,832390
8/21/2025,411.75,833839
8/20/2025,404,819974
8/19/2025,403.25,819067
8/18/2025,406.5,815847
8/15/2025,405.25,797828
8/14/2025,397.25,797139
8/13/2025,397.25,788739
8/12/2025,394.5,757435
8/11/2025,407.75,719646
8/8/2025,405.5,714292
8/7/2025,407,691777
8/6/2025,401.25,681657
8/5/2025,402,682821
8/4/2025,407,677416
8/1/2025,410.75,671118
7/31/2025,413.75,669939
7/30/2025,412.25,659207
7/29/2025,411,652976
7/28/2025,414,635882
7/25/2025,419,626580
7/24/2025,420.75,624247
7/23/2025,417.5,617561
7/22/2025,418,611485
7/21/2025,422.25,602025
7/18/2025,427.75,605616
7/17/2025,421,602096
7/16/2025,424,606235
7/15/2025,419.75,607106
7/14/2025,400,563411
7/11/2025,396,566189
7/10/2025,399.25,576999
7/9/2025,399.25,587265
7/8/2025,398,598367
7/7/2025,403.5,601656
7/4/2025,#N/A N/A,611359
7/3/2025,420.25,611705
7/2/2025,418,617613
7/1/2025,406,621498
6/30/2025,409.25,620261
6/27/2025,411.5,620155
6/26/2025,404,600733
6/25/2025,405,583352
6/24/2025,412.25,566978
6/23/2025,417.5,542587
6/20/2025,425.5,526403
6/19/2025,#N/A N/A,520016
6/18/2025,429,520033
6/17/2025,423.75,501578
6/16/2025,419.75,480762
6/13/2025,428.5,469594
6/12/2025,426.25,458177
6/11/2025,425.25,432306
6/10/2025,425.5,413379
6/9/2025,422.25,402508
6/6/2025,433.25,387154
6/5/2025,431.5,378433
6/4/2025,428,370737
6/3/2025,423.5,365885
6/2/2025,420.75,352455
5/30/2025,423.25,351813
5/29/2025,427.25,348687
5/28/2025,429.75,342895
5/27/2025,433.75,335785
5/23/2025,437.75,331551
5/22/2025,441,328983
5/21/2025,442.75,328023
5/20/2025,435.25,326447
5/19/2025,428.25,324632
5/16/2025,421.5,317870
5/15/2025,425,310899
5/14/2025,445.5,675892
5/13/2025,442.5,674385
5/12/2025,448,670475
5/9/2025,449.75,674777
5/8/2025,447.5,678978
5/7/2025,449.25,674660
5/6/2025,455.5,668587
5/5/2025,454.25,676223
5/2/2025,469,665836
5/1/2025,472.25,666763
4/30/2025,475.5,665212
4/29/2025,470.25,677764
4/28/2025,483.25,689553
4/25/2025,485.5,671411
4/24/2025,484,672170
4/23/2025,479.25,674953
4/22/2025,483.25,667834
4/21/2025,490,666016
4/18/2025,#N/A N/A,660700
4/17/2025,490.25,660700
4/16/2025,491.75,651145
4/15/2025,489.5,647520
4/14/2025,492.75,635751
4/11/2025,497,612526
4/10/2025,488.75,578804
4/9/2025,480.5,618144
4/8/2025,474.75,608680
4/7/2025,470.75,587793
4/4/2025,467.25,580622
4/3/2025,465.5,577802
4/2/2025,465.25,569169
4/1/2025,468.25,557388
3/31/2025,463.25,551585
3/28/2025,460,523746
3/27/2025,458,505044
3/26/2025,459,497311
3/25/2025,465.25,490780
3/24/2025,472,484235
3/21/2025,471.5,480310
3/20/2025,475.5,465624
3/19/2025,469.25,459452
3/18/2025,468,460139
3/17/2025,470,454484
3/14/2025,458.5,698506
3/13/2025,465.25,718058
3/12/2025,460.75,721958
3/11/2025,470.25,723465
3/10/2025,472,729182
3/7/2025,469.25,748076
3/6/2025,464,756635
3/5/2025,455.75,773488
3/4/2025,451.5,792062
3/3/2025,456.25,807222
2/28/2025,469.5,834087
2/27/2025,481,833922
2/26/2025,493.5,823658
2/25/2025,494.25,814449
2/24/2025,497,818765
2/21/2025,505,805571
2/20/2025,512.75,803214
2/19/2025,512.25,787861
2/18/2025,515.75,752766
2/14/2025,508.75,726295
2/13/2025,506,707836
2/12/2025,504,674346
2/11/2025,498,635605
2/10/2025,504.5,605648
2/7/2025,500.5,574798
2/6/2025,507.5,545245
2/5/2025,504.75,533339
2/4/2025,504.75,526984
2/3/2025,499.75,518311
1/31/2025,493,516787
1/30/2025,501.5,519219
1/29/2025,507.5,503185
1/28/2025,496,491257
1/27/2025,492.25,478214
1/24/2025,496.5,469160
1/23/2025,499.25,463172
1/22/2025,494,445933
1/21/2025,499.75,441569
1/17/2025,493,425406
1/16/2025,483,404511
1/15/2025,488,401241
1/14/2025,484.75,394637
1/13/2025,486.75,380066
1/10/2025,479.5,356926
1/9/2025,464.5,333996
1/8/2025,462.5,332705
1/7/2025,465.75,319031
1/6/2025,465.25,316130
1/3/2025,458.25,303542
1/2/2025,467.25,304171
12/31/2024,465.75,300407
12/30/2024,460,294749
12/27/2024,461.5,290183
12/26/2024,460.5,280183
12/24/2024,455,275634
12/23/2024,453.5,276236
12/20/2024,451.75,274442
12/19/2024,446.25,276478
12/18/2024,443.75,275616
12/17/2024,450,274326
12/16/2024,451.75,273269
12/13/2024,442,793751
12/12/2024,443.5,801600
12/11/2024,448.25,807644
12/10/2024,449,804784
12/9/2024,441.75,798843
12/6/2024,440,800470
12/5/2024,435,785976
12/4/2024,430,791507
12/3/2024,432.25,795460
12/2/2024,432.5,785925
11/29/2024,433,788186
11/27/2024,428,789048
11/26/2024,428,752049
11/25/2024,433,717989
11/22/2024,435.25,695076
11/21/2024,436.25,672414
11/20/2024,440,658108
11/19/2024,437.75,638444
11/18/2024,439.75,620186
11/15/2024,435.25,608802
11/14/2024,430.75,592033
11/13/2024,437.5,579340
11/12/2024,440.25,546859
11/11/2024,442.75,531025
11/8/2024,444.25,510713
11/7/2024,440.5,493200
11/6/2024,439,480468
11/5/2024,432,477309
11/4/2024,430,473988
11/1/2024,429.25,471903
10/31/2024,426,459267
10/30/2024,425.5,465717
10/29/2024,427,460994
10/28/2024,424.75,455798
10/25/2024,429.5,445421
10/24/2024,435,445989
10/23/2024,432,437875
10/22/2024,429.25,424231
