Tenor,Tenor,Ticker,Period,Fair Value,Tenor,Ticker,Period,Last Price,Ticker,Spread
,Corn USd/bu. Physical Future : Fair Value : Live Data (USd/bushel (56 lb)),,,,Corn USd/bu. Physical Future : Last Price : 12/10/2020 (USd/bushel (56 lb)),,,,Corn USd/bu. Physical Future : Last Price : 12/10/2020 - Corn USd/bu. Physical Future : Fair Value : Live Data,
1M,,,,,1M,C Z20 COMB Comdty,12/2020,420.25,,
3M,,,,,3M,C H21 COMB Comdty,03/2021,421.25,,
5M,,,,,5M,C K21 COMB Comdty,05/2021,424.25,,
7M,,,,,7M,C N21 COMB Comdty,07/2021,425.75,,
9M,,,,,9M,C U21 COMB Comdty,09/2021,412.25,,
1Y,,,,,1Y,C Z21 COMB Comdty,12/2021,409.25,,
15M,,,,,15M,C H22 COMB Comdty,03/2022,415,,
17M,,,,,17M,C K22 COMB Comdty,05/2022,416.75,,
19M,,,,,19M,C N22 COMB Comdty,07/2022,416.75,,
21M,,,,,21M,C U22 COMB Comdty,09/2022,394.25,,
2Y,,,,,2Y,C Z22 COMB Comdty,12/2022,395.5,,
31M,,,,,31M,C N23 COMB Comdty,07/2023,406,,
3Y,,,,,3Y,C Z23 COMB Comdty,12/2023,396,,
5Y,5Y,C Z5 COMB Comdty,12/2025,439.0000523,,,,,,
63M,63M,C H6 COMB Comdty,03/2026,447.2500533,,,,,,
65M,65M,C K6 COMB Comdty,05/2026,455.0000542,,,,,,
67M,67M,C N6 COMB Comdty,07/2026,460.5000549,,,,,,
69M,69M,C U6 COMB Comdty,09/2026,454.2500542,,,,,,
6Y,6Y,C Z6 COMB Comdty,12/2026,465.2500555,,,,,,
75M,75M,C H7 COMB Comdty,03/2027,477.750057,,,,,,
77M,77M,C K7 COMB Comdty,05/2027,484.1250577,,,,,,
79M,79M,C N7 COMB Comdty,07/2027,487.0000581,,,,,,
81M,81M,C U7 COMB Comdty,09/2027,469.2500559,,,,,,
7Y,7Y,C Z7 COMB Comdty,12/2027,473.2500564,,,,,,
91M,91M,C N8 COMB Comdty,07/2028,491.2500586,,,,,,
8Y,8Y,C Z8 COMB Comdty,12/2028,469.500056,,,,,,
