Security,S 1 COMB Comdty,
Start Date,12/9/2020 0:00,
End Date,12/10/2025 0:00,
Period,D,
Currency,USd,
,,
Date,PX_LAST,OPEN_INT
12/10/2025,1084.25,#N/A N/A
12/9/2025,1087.25,#N/A N/A
12/8/2025,1093.75,295335
12/5/2025,1105.25,313054
12/4/2025,1119.5,329565
12/3/2025,1115.75,335615
12/2/2025,1124.75,338780
12/1/2025,1128,347646
11/28/2025,1137.75,354968
11/26/2025,1131.5,354944
11/25/2025,1124.75,356128
11/24/2025,1123.25,363665
11/21/2025,1125,364865
11/20/2025,1122.5,375525
11/19/2025,1136.25,384890
11/18/2025,1153.5,387989
11/17/2025,1157.25,396492
11/14/2025,1112.75,6
11/13/2025,1132,51
11/12/2025,1120.5,138
11/11/2025,1113.25,232
11/10/2025,1116,485
11/7/2025,1101.75,831
11/6/2025,1091.75,983
11/5/2025,1119.75,1556
11/4/2025,1108.25,2058
11/3/2025,1119.75,3080
10/31/2025,1099.75,4807
10/30/2025,1091.25,9278
10/29/2025,1080.25,30881
10/28/2025,1078.25,51007
10/27/2025,1067.25,84989
10/24/2025,1041.75,129765
10/23/2025,1044.75,167735
10/22/2025,1034.75,184565
10/21/2025,1030.75,207136
10/20/2025,1031.75,228376
10/17/2025,1019.5,251723
10/16/2025,1010.75,273746
10/15/2025,1006.5,285694
10/14/2025,1006.5,304254
10/13/2025,1007.75,307892
10/10/2025,1006.75,307715
10/9/2025,1022.25,342973
10/8/2025,1029.5,349993
10/7/2025,1022,349866
10/6/2025,1017.75,361143
10/3/2025,1018,370070
10/2/2025,1023.75,375112
10/1/2025,1013,380690
9/30/2025,1001.75,379620
9/29/2025,1010.5,387100
9/26/2025,1013.75,390531
9/25/2025,1012.25,397721
9/24/2025,1009,399008
9/23/2025,1012,399687
9/22/2025,1011,404771
9/19/2025,1025.5,406542
9/18/2025,1037.5,403514
9/17/2025,1043.75,401705
9/16/2025,1049.75,396283
9/15/2025,1042.75,392215
9/12/2025,1025.75,20
9/11/2025,1015.25,24
9/10/2025,1005.5,42
9/9/2025,1011.5,47
9/8/2025,1013.5,79
9/5/2025,1006.5,112
9/4/2025,1012,190
9/3/2025,1016,364
9/2/2025,1025.75,1185
9/1/2025,#N/A N/A,1299
8/29/2025,1036.75,1299
8/28/2025,1028.25,1875
8/27/2025,1027.25,11199
8/26/2025,1028.75,17561
8/25/2025,1025.5,28423
8/22/2025,1036.5,44772
8/21/2025,1034.5,52999
8/20/2025,1015,58145
8/19/2025,1013,58920
8/18/2025,1020.75,60798
8/15/2025,1022.25,62084
8/14/2025,1008.5,3
8/13/2025,1023.5,4
8/12/2025,1011.75,89
8/11/2025,989.5,226
8/8/2025,966.75,246
8/7/2025,971.75,302
8/6/2025,961.5,383
8/5/2025,969,436
8/4/2025,969,574
8/1/2025,961.75,891
7/31/2025,961.75,1369
7/30/2025,967.75,2458
7/29/2025,981.75,13035
7/28/2025,988.75,28880
7/25/2025,998.75,54247
7/24/2025,1004.25,59324
7/23/2025,1005.75,79229
7/22/2025,1010.25,87810
7/21/2025,1015,93022
7/18/2025,1027.75,95090
7/17/2025,1021.5,96784
7/16/2025,1013.5,100436
7/15/2025,995,102785
7/14/2025,997,205
7/11/2025,1004,7
7/10/2025,1012.5,55
7/9/2025,1012.25,380
7/8/2025,1024.25,389
7/7/2025,1031.75,615
7/4/2025,#N/A N/A,1215
7/3/2025,1056.25,1215
7/2/2025,1050.5,1523
7/1/2025,1024.75,1968
6/30/2025,1024.25,3118
6/27/2025,1027.75,5453
6/26/2025,1022.75,19079
6/25/2025,1025.25,45678
6/24/2025,1046.75,81155
6/23/2025,1058.75,107225
6/20/2025,1068,131439
6/19/2025,#N/A N/A,161998
6/18/2025,1074.75,162194
6/17/2025,1074,171585
6/16/2025,1069.75,195743
6/13/2025,1069.75,218448
6/12/2025,1042.25,229701
6/11/2025,1050.5,252703
6/10/2025,1057.75,277065
6/9/2025,1056,292628
6/6/2025,1057.25,310899
6/5/2025,1051.75,324267
6/4/2025,1045,330202
6/3/2025,1040.75,336120
6/2/2025,1033.5,341266
5/30/2025,1041.75,340595
5/29/2025,1051.75,345395
5/28/2025,1048.5,344398
5/27/2025,1062.5,341266
5/23/2025,1060.25,340813
5/22/2025,1067.5,346108
5/21/2025,1062.75,341363
5/20/2025,1053,348836
5/19/2025,1050.75,356035
5/16/2025,1050,358902
5/15/2025,1051.25,362368
5/14/2025,1067,3
5/13/2025,1067.25,5
5/12/2025,1066,72
5/9/2025,1044,129
5/8/2025,1036.75,178
5/7/2025,1030.5,212
5/6/2025,1034.75,342
5/5/2025,1038,557
5/2/2025,1048.75,916
5/1/2025,1040.25,1691
4/30/2025,1034.75,3016
4/29/2025,1041,4852
4/28/2025,1052,26897
4/25/2025,1049.75,59559
4/24/2025,1053,92877
4/23/2025,1040.25,113485
4/22/2025,1035,127964
4/21/2025,1029.5,145365
4/18/2025,#N/A N/A,153408
4/17/2025,1036.5,153408
4/16/2025,1038.75,160082
4/15/2025,1036,178546
4/14/2025,1041.75,190661
4/11/2025,1042.75,196209
4/10/2025,1029,231794
4/9/2025,1012.75,251821
4/8/2025,992.75,282050
4/7/2025,983,303201
4/4/2025,977,335041
4/3/2025,1011.5,329222
4/2/2025,1029.5,331666
4/1/2025,1034.25,337966
3/31/2025,1014.75,348223
3/28/2025,1023,357552
3/27/2025,1016.75,363463
3/26/2025,1001,365789
3/25/2025,1001.75,375352
3/24/2025,1007.25,378001
3/21/2025,1009.75,378716
3/20/2025,1013,388367
3/19/2025,1008.25,380565
3/18/2025,1012.75,375706
3/17/2025,1015.5,373220
3/14/2025,999.25,3
3/13/2025,996.75,31
3/12/2025,987.5,109
3/11/2025,997.75,180
3/10/2025,999.75,192
3/7/2025,1010.25,358
3/6/2025,1014,394
3/5/2025,997.75,832
3/4/2025,984,996
3/3/2025,998.25,1536
2/28/2025,1011.5,2674
2/27/2025,1022.75,3647
2/26/2025,1024.5,25092
2/25/2025,1031.25,52654
2/24/2025,1029,86743
2/21/2025,1039.5,115893
2/20/2025,1045.5,149910
2/19/2025,1031.75,159234
2/18/2025,1038.5,184314
2/14/2025,1036,196155
2/13/2025,1030,209887
2/12/2025,1027.75,228252
2/11/2025,1043.5,255936
2/10/2025,1049.5,272524
2/7/2025,1049.5,283825
2/6/2025,1060.5,301839
2/5/2025,1057,303782
2/4/2025,1075,318340
2/3/2025,1058.25,316850
1/31/2025,1042,318925
1/30/2025,1044,322238
1/29/2025,1060.5,329617
1/28/2025,1045,330417
1/27/2025,1045,336044
1/24/2025,1055.75,341256
1/23/2025,1065.5,353290
1/22/2025,1056,349754
1/21/2025,1067.25,361410
1/17/2025,1034,358757
1/16/2025,1019,356859
1/15/2025,1042.75,366814
1/14/2025,1043,17
1/13/2025,1041.5,149
1/10/2025,1013.5,209
1/9/2025,992.25,287
1/8/2025,987.5,389
1/7/2025,992.25,516
1/6/2025,992.5,647
1/3/2025,981,919
1/2/2025,999.5,1743
12/31/2024,998.25,2388
12/30/2024,982,4523
12/27/2024,980,31384
12/26/2024,988,54165
12/24/2024,975.25,76465
12/23/2024,969.5,85804
12/20/2024,974.5,111975
12/19/2024,963,127227
12/18/2024,951.75,152094
12/17/2024,976.75,169017
12/16/2024,982,192846
12/13/2024,988.25,209365
12/12/2024,995.75,214960
12/11/2024,995.5,236863
12/10/2024,994.75,263435
12/9/2024,990,290550
12/6/2024,993.75,308231
12/5/2024,993.75,326616
12/4/2024,983.75,329113
12/3/2024,991.75,332285
12/2/2024,985.25,330595
11/29/2024,989.5,335146
11/27/2024,988.75,335633
11/26/2024,983.5,342349
11/25/2024,985.75,350173
11/22/2024,983.5,352834
11/21/2024,977.75,353896
11/20/2024,990.5,353132
11/19/2024,998.5,355094
11/18/2024,1009.75,356160
11/15/2024,998.5,356660
11/14/2024,985.75,9
11/13/2024,1004.25,120
11/12/2024,1003.5,159
