Security,S 2 COMB Comdty,
Start Date,12/9/2020 0:00,
End Date,12/10/2025 0:00,
Period,D,
Currency,USd,
,,
Date,PX_LAST,PX_VOLUME
12/10/2025,1095.25,3148
12/9/2025,1098.25,116544
12/8/2025,1105.75,112901
12/5/2025,1116,83293
12/4/2025,1128.75,76860
12/3/2025,1125.5,70637
12/2/2025,1135,79658
12/1/2025,1138,63918
11/28/2025,1146,20410
11/26/2025,1140.75,52584
11/25/2025,1134.75,48459
11/24/2025,1132,51516
11/21/2025,1134.25,47177
11/20/2025,1132,60341
11/19/2025,1144.5,52024
11/18/2025,1160.25,81481
11/17/2025,1163.25,98144
11/14/2025,1124.5,217050
11/13/2025,1147,172835
11/12/2025,1133.75,122620
11/11/2025,1127.25,123364
11/10/2025,1130,120398
11/7/2025,1117,129373
11/6/2025,1107.5,212012
11/5/2025,1134.25,163607
11/4/2025,1121.5,171478
11/3/2025,1134.25,193156
10/31/2025,1115.25,161419
10/30/2025,1107.75,388453
10/29/2025,1094.5,221828
10/28/2025,1095.25,330945
10/27/2025,1085,273084
10/24/2025,1060.25,151065
10/23/2025,1062,131501
10/22/2025,1050,167046
10/21/2025,1048.5,124163
10/20/2025,1050,126909
10/17/2025,1036.75,98007
10/16/2025,1028.5,88660
10/15/2025,1024.25,90174
10/14/2025,1024.25,81545
10/13/2025,1025.25,96924
10/10/2025,1023.25,118978
10/9/2025,1038.5,134680
10/8/2025,1044.25,124324
10/7/2025,1039,95067
10/6/2025,1035.75,53146
10/3/2025,1037,59818
10/2/2025,1041.75,60325
10/1/2025,1031,66473
9/30/2025,1020.25,65425
9/29/2025,1029.75,32465
9/26/2025,1033,35343
9/25/2025,1031.25,41298
9/24/2025,1028.5,42417
9/23/2025,1031.75,52948
9/22/2025,1030.5,52638
9/19/2025,1044.75,48285
9/18/2025,1056.5,31199
9/17/2025,1063,30861
9/16/2025,1069.25,37755
9/15/2025,1061.75,32036
9/12/2025,1046.25,185166
9/11/2025,1033.5,102675
9/10/2025,1025.25,100353
9/9/2025,1031.25,88969
9/8/2025,1033.75,96001
9/5/2025,1027,102785
9/4/2025,1033,115810
9/3/2025,1031.5,101587
9/2/2025,1041,124743
8/29/2025,1054.5,107371
8/28/2025,1048,117498
8/27/2025,1047.5,122281
8/26/2025,1049.5,154540
8/25/2025,1047.75,163195
8/22/2025,1058.5,173590
8/21/2025,1056,209807
8/20/2025,1036,78264
8/19/2025,1033.75,119715
8/18/2025,1041.25,139131
8/15/2025,1042.5,114070
8/14/2025,1007.5,27617
8/13/2025,1024,41102
8/12/2025,1012.75,77852
8/11/2025,991.75,34940
8/8/2025,967.75,19859
8/7/2025,974,29336
8/6/2025,965.5,30023
8/5/2025,971.5,26999
8/4/2025,975.25,32968
8/1/2025,969.5,29313
7/31/2025,969.5,24348
7/30/2025,975.75,45033
7/29/2025,989.5,53185
7/28/2025,992.5,51995
7/25/2025,1002,35739
7/24/2025,1005.75,51127
7/23/2025,1005,38339
7/22/2025,1008,45113
7/21/2025,1010.5,23500
7/18/2025,1021,38338
7/17/2025,1012,25507
7/16/2025,1005.75,22369
7/15/2025,987.25,20475
7/14/2025,1001,41417
7/11/2025,1004.25,40206
7/10/2025,1012.5,51876
7/9/2025,1009,37642
7/8/2025,1021.25,62424
7/7/2025,1031.5,60370
7/3/2025,1055.5,56407
7/2/2025,1053.5,53107
7/1/2025,1029.75,51561
6/30/2025,1029.75,59926
6/27/2025,1033.25,47963
6/26/2025,1027.75,72244
6/25/2025,1029.5,108115
6/24/2025,1050.25,78289
6/23/2025,1062,55981
6/20/2025,1071.5,47122
6/18/2025,1076.75,48780
6/17/2025,1076.25,45883
6/16/2025,1071.75,49747
6/13/2025,1069,56316
6/12/2025,1041,72954
6/11/2025,1045.5,31666
6/10/2025,1049.5,27118
6/9/2025,1047.75,27940
6/6/2025,1050.75,34186
6/5/2025,1046.5,35578
6/4/2025,1038.75,32546
6/3/2025,1034.25,25225
6/2/2025,1027.25,21095
5/30/2025,1036.75,25307
5/29/2025,1048.5,23144
5/28/2025,1045.25,14959
5/27/2025,1058,12587
5/23/2025,1056,19433
5/22/2025,1062.5,21402
5/21/2025,1059,23336
5/20/2025,1050.25,11701
5/19/2025,1047.75,11754
5/16/2025,1046.25,16248
5/15/2025,1047.25,26081
5/14/2025,1077.75,124910
5/13/2025,1072.5,161099
5/12/2025,1071.25,195384
5/9/2025,1051.75,116140
5/8/2025,1045,105083
5/7/2025,1039.25,123496
5/6/2025,1041.25,102323
5/5/2025,1045.5,84103
5/2/2025,1058,91958
5/1/2025,1050.25,84628
4/30/2025,1044.5,115195
4/29/2025,1052.75,149001
4/28/2025,1062.5,134453
4/25/2025,1059.25,124426
4/24/2025,1062,148400
4/23/2025,1050.25,140319
4/22/2025,1046,94806
4/21/2025,1041.5,71977
4/17/2025,1047.75,89045
4/16/2025,1050.25,113328
4/15/2025,1046.5,113177
4/14/2025,1050.25,106802
4/11/2025,1053,158662
4/10/2025,1036.75,161619
4/9/2025,1023.5,175037
4/8/2025,1004,196109
4/7/2025,997,186460
4/4/2025,993,187287
4/3/2025,1026.25,109755
4/2/2025,1045,73005
4/1/2025,1049.25,113831
3/31/2025,1028.25,100570
3/28/2025,1037.25,81964
3/27/2025,1030.5,56328
3/26/2025,1015,61476
3/25/2025,1015.5,55365
3/24/2025,1019.5,51427
3/21/2025,1021.5,56282
3/20/2025,1025.25,60707
3/19/2025,1021.5,67114
3/18/2025,1026.5,49607
3/17/2025,1029.25,36129
3/14/2025,1016,101125
3/13/2025,1010.75,114617
3/12/2025,1000.5,130716
3/11/2025,1011.25,101557
3/10/2025,1014,105502
3/7/2025,1025,110547
3/6/2025,1027.25,192141
3/5/2025,1011.75,159722
3/4/2025,999,211927
3/3/2025,1011.5,154480
2/28/2025,1025.75,118837
2/27/2025,1037.25,153275
2/26/2025,1041.25,144042
2/25/2025,1048.75,177722
2/24/2025,1047.5,129312
2/21/2025,1057.25,111687
2/20/2025,1063,119015
2/19/2025,1048.25,117494
2/18/2025,1055.5,94601
2/14/2025,1052.75,96184
2/13/2025,1047,118588
2/12/2025,1045.75,116823
2/11/2025,1060.25,101365
2/10/2025,1065.5,84282
2/7/2025,1065.5,108636
2/6/2025,1075.75,74953
2/5/2025,1072.25,86784
2/4/2025,1088,99660
2/3/2025,1072.75,80757
1/31/2025,1057.5,86551
1/30/2025,1059.75,66718
1/29/2025,1075.25,73589
1/28/2025,1059.5,66359
1/27/2025,1058.5,57211
1/24/2025,1068.25,83427
1/23/2025,1077.75,64498
1/22/2025,1068.25,87705
1/21/2025,1077.75,87674
1/17/2025,1044.75,84359
1/16/2025,1031.5,48319
1/15/2025,1055.25,58464
1/14/2025,1047.5,220603
1/13/2025,1053,229028
1/10/2025,1025.25,267972
1/9/2025,999,84880
1/8/2025,994.5,115228
1/7/2025,997.25,132275
1/6/2025,997.75,135003
1/3/2025,991.75,155028
1/2/2025,1012,129597
12/31/2024,1010.5,142790
12/30/2024,991.75,140332
12/27/2024,989.75,104442
12/26/2024,997.25,135969
12/24/2024,981.25,64012
12/23/2024,975.5,105210
12/20/2024,979.25,119531
12/19/2024,966.5,166725
12/18/2024,953.25,145026
12/17/2024,978.75,142638
12/16/2024,986,110510
12/13/2024,995,72771
12/12/2024,1003.25,130368
12/11/2024,1002.75,133242
12/10/2024,1000.25,98530
12/9/2024,995.5,100166
12/6/2024,999.25,113325
12/5/2024,999,67455
12/4/2024,989.75,56859
12/3/2024,997.25,75330
12/2/2024,991,67153
11/29/2024,996,41450
11/27/2024,997,79266
11/26/2024,994,78793
11/25/2024,994.25,42035
11/22/2024,992.25,67125
11/21/2024,985.25,74338
11/20/2024,999.25,50524
11/19/2024,1008.5,48885
11/18/2024,1019,40656
11/15/2024,1008.75,52485
11/14/2024,987.5,152378
11/13/2024,1007.75,114151
11/12/2024,1010.5,158851
11/11/2024,1022.25,137395
