Tenor,Tenor,Ticker,Period,Fair Value,Tenor,Ticker,Period,Last Price,Ticker,Spread
,Soybean USd/bu. Physical Future : Fair Value : Live Data (USd/bushel (60lb)),,,,Soybean USd/bu. Physical Future : Last Price : 12/10/2020 (USd/bushel (60lb)),,,,Soybean USd/bu. Physical Future : Last Price : 12/10/2020 - Soybean USd/bu. Physical Future : Fair Value : Live Data,
1M,,,,,1M,S F21 COMB Comdty,01/2021,1152.75,,
3M,,,,,3M,S H21 COMB Comdty,03/2021,1158.75,,
5M,,,,,5M,S K21 COMB Comdty,05/2021,1159.75,,
7M,,,,,7M,S N21 COMB Comdty,07/2021,1158.5,,
8M,,,,,8M,S Q21 COMB Comdty,08/2021,1137.75,,
9M,,,,,9M,S U21 COMB Comdty,09/2021,1086.25,,
11M,,,,,11M,S X21 COMB Comdty,11/2021,1046,,
13M,,,,,13M,S F22 COMB Comdty,01/2022,1046.5,,
15M,,,,,15M,S H22 COMB Comdty,03/2022,1035.75,,
17M,,,,,17M,S K22 COMB Comdty,05/2022,1032.5,,
19M,,,,,19M,S N22 COMB Comdty,07/2022,1033.25,,
20M,,,,,20M,S Q22 COMB Comdty,08/2022,1026.75,,
21M,,,,,21M,S U22 COMB Comdty,09/2022,1008.25,,
23M,,,,,23M,S X22 COMB Comdty,11/2022,988.5,,
25M,,,,,25M,S F23 COMB Comdty,01/2023,991,,
27M,,,,,27M,S H23 COMB Comdty,03/2023,991,,
29M,,,,,29M,S K23 COMB Comdty,05/2023,991,,
31M,,,,,31M,S N23 COMB Comdty,07/2023,999,,
32M,,,,,32M,S Q23 COMB Comdty,08/2023,996,,
33M,,,,,33M,S U23 COMB Comdty,09/2023,996,,
35M,,,,,35M,S X23 COMB Comdty,11/2023,980.75,,
43M,,,,,43M,S N24 COMB Comdty,07/2024,980.75,,
47M,,,,,47M,S X24 COMB Comdty,11/2024,980.5,,
61M,61M,S F6 COMB Comdty,01/2026,1084,,,,,,
63M,63M,S H6 COMB Comdty,03/2026,1095.25,,,,,,
65M,65M,S K6 COMB Comdty,05/2026,1106.25,,,,,,
67M,67M,S N6 COMB Comdty,07/2026,1115.75,,,,,,
68M,68M,S Q6 COMB Comdty,08/2026,1109.500132,,,,,,
69M,69M,S U6 COMB Comdty,09/2026,1090.5,,,,,,
71M,71M,S X6 COMB Comdty,11/2026,1092.75,,,,,,
73M,73M,S F7 COMB Comdty,01/2027,1102.000131,,,,,,
75M,75M,S H7 COMB Comdty,03/2027,1100.750131,,,,,,
77M,77M,S K7 COMB Comdty,05/2027,1104.000132,,,,,,
79M,79M,S N7 COMB Comdty,07/2027,1109,,,,,,
80M,80M,S Q7 COMB Comdty,08/2027,1101.875,,,,,,
81M,81M,S U7 COMB Comdty,09/2027,1080.875,,,,,,
83M,83M,S X7 COMB Comdty,11/2027,1078.375,,,,,,
85M,85M,S F8 COMB Comdty,01/2028,1087.375,,,,,,
87M,87M,S H8 COMB Comdty,03/2028,1085.375,,,,,,
89M,89M,S K8 COMB Comdty,05/2028,1088.375,,,,,,
91M,91M,S N8 COMB Comdty,07/2028,1096.125,,,,,,
92M,92M,S Q8 COMB Comdty,08/2028,1088.875,,,,,,
93M,93M,S U8 COMB Comdty,09/2028,1068.875,,,,,,
95M,95M,S X8 COMB Comdty,11/2028,1069.875,,,,,,
103M,103M,S N9 COMB Comdty,07/2029,1089.125,,,,,,
107M,107M,S X9 COMB Comdty,11/2029,1074.875,,,,,,
