Date,Last Price
12/22/2025,
12/19/2025,98.599
12/18/2025,98.427
12/17/2025,98.368
12/16/2025,98.146
12/15/2025,98.309
12/12/2025,98.399
12/11/2025,98.346
12/10/2025,98.786
12/9/2025,99.22
12/8/2025,99.087
12/5/2025,98.992
12/4/2025,98.989
12/3/2025,98.854
12/2/2025,99.357
12/1/2025,99.414
11/28/2025,99.459
11/27/2025,99.536
11/26/2025,99.595
11/25/2025,99.664
11/24/2025,100.142
11/21/2025,100.18
11/20/2025,100.158
11/19/2025,100.228
11/18/2025,99.55
11/17/2025,99.588
11/14/2025,99.299
11/13/2025,99.156
11/12/2025,99.495
11/11/2025,99.443
11/10/2025,99.589
11/7/2025,99.603
11/6/2025,99.733
11/5/2025,100.204
11/4/2025,100.224
11/3/2025,99.873
10/31/2025,99.804
10/30/2025,99.526
10/29/2025,99.22
10/28/2025,98.667
10/27/2025,98.783
10/24/2025,98.952
10/23/2025,98.936
10/22/2025,98.897
10/21/2025,98.934
10/20/2025,98.586
10/17/2025,98.433
10/16/2025,98.336
10/15/2025,98.793
10/14/2025,99.047
10/13/2025,99.269
10/10/2025,98.978
10/9/2025,99.538
10/8/2025,98.915
10/7/2025,98.578
10/6/2025,98.108
10/3/2025,97.723
10/2/2025,97.846
10/1/2025,97.706
9/30/2025,97.775
9/29/2025,97.906
9/26/2025,98.152
9/25/2025,98.553
9/24/2025,97.873
9/23/2025,97.264
9/22/2025,97.341
9/19/2025,97.644
9/18/2025,97.348
9/17/2025,96.873
9/16/2025,96.633
9/15/2025,97.302
9/12/2025,97.55
9/11/2025,97.531
9/10/2025,97.78
9/9/2025,97.788
9/8/2025,97.454
9/5/2025,97.768
9/4/2025,98.347
9/3/2025,98.142
9/2/2025,98.397
9/1/2025,97.771
8/29/2025,97.771
8/28/2025,97.813
8/27/2025,98.232
8/26/2025,98.225
8/25/2025,98.43
8/22/2025,97.716
8/21/2025,98.619
8/20/2025,98.218
8/19/2025,98.265
8/18/2025,98.167
8/15/2025,97.852
8/14/2025,98.254
8/13/2025,97.84
8/12/2025,98.097
8/11/2025,98.52
8/8/2025,98.18
8/7/2025,98.4
8/6/2025,98.177
8/5/2025,98.782
8/4/2025,98.784
8/1/2025,99.141
7/31/2025,99.968
7/30/2025,99.815
7/29/2025,98.886
7/28/2025,98.634
7/25/2025,97.645
7/24/2025,97.377
7/23/2025,97.214
7/22/2025,97.392
7/21/2025,97.853
7/18/2025,98.482
7/17/2025,98.734
7/16/2025,98.392
7/15/2025,98.616
7/14/2025,98.081
7/11/2025,97.853
7/10/2025,97.652
7/9/2025,97.555
7/8/2025,97.516
7/7/2025,97.48
7/4/2025,97.18
7/3/2025,97.18
7/2/2025,96.776
7/1/2025,96.819
6/30/2025,96.875
6/27/2025,97.401
6/26/2025,97.147
6/25/2025,97.679
6/24/2025,97.858
6/23/2025,98.416
6/20/2025,98.707
6/19/2025,98.905
6/18/2025,98.905
6/17/2025,98.82
6/16/2025,97.998
6/13/2025,98.184
6/12/2025,97.921
6/11/2025,98.631
6/10/2025,99.098
6/9/2025,98.939
6/6/2025,99.19
6/5/2025,98.741
6/4/2025,98.787
6/3/2025,99.227
6/2/2025,98.706
5/30/2025,99.329
5/29/2025,99.278
5/28/2025,99.875
5/27/2025,99.521
5/26/2025,98.934
5/23/2025,99.112
5/22/2025,99.96
5/21/2025,99.559
5/20/2025,100.118
5/19/2025,100.426
5/16/2025,101.092
5/15/2025,100.879
5/14/2025,101.039
5/13/2025,101.003
5/12/2025,101.788
5/9/2025,100.339
5/8/2025,100.64
5/7/2025,99.614
5/6/2025,99.238
5/5/2025,99.831
5/2/2025,100.03
5/1/2025,100.248
4/30/2025,99.468
4/29/2025,99.237
4/28/2025,99.01
4/25/2025,99.471
4/24/2025,99.377
4/23/2025,99.844
4/22/2025,98.918
4/21/2025,98.278
4/18/2025,99.23
4/17/2025,99.376
4/16/2025,99.38
4/15/2025,100.215
4/14/2025,99.64
4/11/2025,100.102
4/10/2025,100.867
4/9/2025,102.9
4/8/2025,102.955
4/7/2025,103.256
4/4/2025,103.023
4/3/2025,102.072
4/2/2025,103.807
4/1/2025,104.26
3/31/2025,104.21
3/28/2025,104.044
3/27/2025,104.335
3/26/2025,104.547
3/25/2025,104.184
3/24/2025,104.262
3/21/2025,104.088
3/20/2025,103.851
3/19/2025,103.428
3/18/2025,103.244
3/17/2025,103.37
3/14/2025,103.718
3/13/2025,103.828
3/12/2025,103.612
3/11/2025,103.419
3/10/2025,103.9
3/7/2025,103.838
3/6/2025,104.062
3/5/2025,104.276
3/4/2025,105.743
3/3/2025,106.747
2/28/2025,107.614
2/27/2025,107.244
2/26/2025,106.416
2/25/2025,106.308
2/24/2025,106.596
2/21/2025,106.612
2/20/2025,106.372
2/19/2025,107.173
2/18/2025,107.054
2/17/2025,106.575
2/14/2025,106.71
2/13/2025,107.313
2/12/2025,107.938
2/11/2025,107.963
2/10/2025,108.319
2/7/2025,108.04
2/6/2025,107.689
2/5/2025,107.579
2/4/2025,107.96
2/3/2025,108.99
1/31/2025,108.37
1/30/2025,107.797
1/29/2025,108
1/28/2025,107.866
1/27/2025,107.341
1/24/2025,107.443
1/23/2025,108.047
1/22/2025,108.167
1/21/2025,108.062
1/20/2025,109.347
1/17/2025,109.347
1/16/2025,108.957
1/15/2025,109.09
1/14/2025,109.273
1/13/2025,109.956
1/10/2025,109.65
1/9/2025,109.179
1/8/2025,109.09
1/7/2025,108.542
1/6/2025,108.257
1/3/2025,108.952
1/2/2025,109.394
12/31/2024,108.487
12/30/2024,108.13
12/27/2024,107.998
12/26/2024,108.129
12/24/2024,108.257
12/23/2024,108.037
12/20/2024,107.621
12/19/2024,108.408
12/18/2024,108.027
12/17/2024,106.956
12/16/2024,106.858
12/13/2024,107.003
12/12/2024,106.956
12/11/2024,106.71
12/10/2024,106.399
12/9/2024,106.145
12/6/2024,106.055
12/5/2024,105.714
12/4/2024,106.321
12/3/2024,106.365
12/2/2024,106.446
11/29/2024,105.737
11/28/2024,106.048
11/27/2024,106.084
11/26/2024,107.013
11/25/2024,106.817
11/22/2024,107.554
11/21/2024,106.972
11/20/2024,106.68
11/19/2024,106.206
11/18/2024,106.275
11/15/2024,106.687
11/14/2024,106.673
11/13/2024,106.481
11/12/2024,106.024
11/11/2024,105.543
11/8/2024,104.997
11/7/2024,104.508
11/6/2024,105.088
11/5/2024,103.423
11/4/2024,103.885
11/1/2024,104.282
10/31/2024,103.976
10/30/2024,103.994
10/29/2024,104.316
10/28/2024,104.316
10/25/2024,104.257
10/24/2024,104.058
10/23/2024,104.431
10/22/2024,104.075
10/21/2024,104.012
10/18/2024,103.493
10/17/2024,103.825
10/16/2024,103.59
10/15/2024,103.261
10/14/2024,103.298
10/11/2024,102.89
10/10/2024,102.988
10/9/2024,102.928
10/8/2024,102.549
10/7/2024,102.537
10/4/2024,102.52
10/3/2024,101.989
10/2/2024,101.677
10/1/2024,101.194
9/30/2024,100.779
9/27/2024,100.381
9/26/2024,100.562
9/25/2024,100.912
9/24/2024,100.466
9/23/2024,100.851
9/20/2024,100.723
9/19/2024,100.614
9/18/2024,100.596
9/17/2024,100.894
9/16/2024,100.763
9/13/2024,101.114
9/12/2024,101.366
9/11/2024,101.684
9/10/2024,101.63
9/9/2024,101.552
9/6/2024,101.177
9/5/2024,101.107
9/4/2024,101.358
9/3/2024,101.825
9/2/2024,101.653
8/30/2024,101.698
8/29/2024,101.343
8/28/2024,101.094
8/27/2024,100.552
8/26/2024,100.851
8/23/2024,100.718
8/22/2024,101.508
8/21/2024,101.039
8/20/2024,101.441
8/19/2024,101.886
8/16/2024,102.463
8/15/2024,102.977
8/14/2024,102.568
8/13/2024,102.559
8/12/2024,103.139
8/9/2024,103.135
8/8/2024,103.209
8/7/2024,103.197
8/6/2024,102.969
8/5/2024,102.689
8/2/2024,103.208
8/1/2024,104.421
7/31/2024,104.096
7/30/2024,104.554
7/29/2024,104.564
7/26/2024,104.316
7/25/2024,104.355
7/24/2024,104.391
7/23/2024,104.45
7/22/2024,104.314
7/19/2024,104.396
7/18/2024,104.173
7/17/2024,103.748
7/16/2024,104.27
7/15/2024,104.189
7/12/2024,104.093
7/11/2024,104.44
7/10/2024,105.048
7/9/2024,105.129
7/8/2024,105
7/5/2024,104.875
7/4/2024,105.13
7/3/2024,105.403
7/2/2024,105.722
7/1/2024,105.901
6/28/2024,105.866
6/27/2024,105.906
6/26/2024,106.052
6/25/2024,105.607
6/24/2024,105.473
6/21/2024,105.796
6/20/2024,105.588
6/19/2024,105.254
6/18/2024,105.256
6/17/2024,105.32
6/14/2024,105.55
6/13/2024,105.196
6/12/2024,104.645
6/11/2024,105.23
6/10/2024,105.15
6/7/2024,104.885
6/6/2024,104.102
6/5/2024,104.268
6/4/2024,104.11
6/3/2024,104.14
5/31/2024,104.671
5/30/2024,104.716
5/29/2024,105.122
5/28/2024,104.614
5/27/2024,104.595
5/24/2024,104.724
5/23/2024,105.108
5/22/2024,104.933
5/21/2024,104.661
5/20/2024,104.565
5/17/2024,104.445
5/16/2024,104.462
5/15/2024,104.345
5/14/2024,105.013
5/13/2024,105.218
5/10/2024,105.301
5/9/2024,105.227
5/8/2024,105.546
5/7/2024,105.412
5/6/2024,105.051
5/3/2024,105.03
5/2/2024,105.299
5/1/2024,105.755
4/30/2024,106.221
4/29/2024,105.579
4/26/2024,105.938
4/25/2024,105.598
4/24/2024,105.857
4/23/2024,105.675
4/22/2024,106.077
4/19/2024,106.154
4/18/2024,106.151
4/17/2024,105.951
4/16/2024,106.257
4/15/2024,106.208
4/12/2024,106.038
4/11/2024,105.282
4/10/2024,105.245
4/9/2024,104.148
4/8/2024,104.14
4/5/2024,104.298
4/4/2024,104.121
4/3/2024,104.249
4/2/2024,104.816
4/1/2024,105.019
3/29/2024,104.487
3/28/2024,104.546
3/27/2024,104.348
3/26/2024,104.298
3/25/2024,104.224
3/22/2024,104.43
3/21/2024,104.007
3/20/2024,103.389
3/19/2024,103.818
3/18/2024,103.579
3/15/2024,103.432
3/14/2024,103.36
3/13/2024,102.789
3/12/2024,102.957
3/11/2024,102.869
3/8/2024,102.712
3/7/2024,102.823
3/6/2024,103.369
3/5/2024,103.798
3/4/2024,103.832
3/1/2024,103.861
2/29/2024,104.156
2/28/2024,103.975
2/27/2024,103.829
2/26/2024,103.827
2/23/2024,103.936
2/22/2024,103.957
2/21/2024,104.006
2/20/2024,104.079
2/19/2024,104.291
2/16/2024,104.275
2/15/2024,104.296
2/14/2024,104.723
2/13/2024,104.96
2/12/2024,104.17
2/9/2024,104.111
2/8/2024,104.165
2/7/2024,104.057
2/6/2024,104.213
2/5/2024,104.452
2/2/2024,103.922
2/1/2024,103.048
1/31/2024,103.274
1/30/2024,103.397
1/29/2024,103.609
1/26/2024,103.433
1/25/2024,103.574
1/24/2024,103.236
1/23/2024,103.617
1/22/2024,103.331
1/19/2024,103.288
1/18/2024,103.536
1/17/2024,103.45
1/16/2024,103.357
1/15/2024,102.404
1/12/2024,102.404
1/11/2024,102.291
1/10/2024,102.362
1/9/2024,102.57
1/8/2024,102.209
1/5/2024,102.412
1/4/2024,102.422
1/3/2024,102.494
1/2/2024,102.2
12/29/2023,101.333
12/28/2023,101.229
12/27/2023,100.986
12/26/2023,101.466
12/22/2023,101.698
12/21/2023,101.843
12/20/2023,102.408
12/19/2023,102.167
12/18/2023,102.561
12/15/2023,102.55
12/14/2023,101.956
12/13/2023,102.869
12/12/2023,103.865
12/11/2023,104.095
12/8/2023,104.01
12/7/2023,103.541
12/6/2023,104.153
12/5/2023,104.05
12/4/2023,103.712
12/1/2023,103.268
11/30/2023,103.497
11/29/2023,102.765
11/28/2023,102.746
11/27/2023,103.199
11/24/2023,103.403
11/23/2023,103.92
11/22/2023,103.92
11/21/2023,103.565
11/20/2023,103.438
11/17/2023,103.917
11/16/2023,104.349
11/15/2023,104.394
11/14/2023,104.053
11/13/2023,105.631
11/10/2023,105.861
11/9/2023,105.91
11/8/2023,105.593
11/7/2023,105.542
11/6/2023,105.215
11/3/2023,105.021
11/2/2023,106.124
11/1/2023,106.884
10/31/2023,106.663
10/30/2023,106.12
10/27/2023,106.559
10/26/2023,106.602
10/25/2023,106.528
10/24/2023,106.27
10/23/2023,105.536
10/20/2023,106.163
10/19/2023,106.253
10/18/2023,106.565
10/17/2023,106.25
10/16/2023,106.243
10/13/2023,106.648
10/12/2023,106.599
10/11/2023,105.82
10/10/2023,105.825
10/9/2023,106.083
10/6/2023,106.044
10/5/2023,106.332
10/4/2023,106.799
10/3/2023,107
10/2/2023,106.904
9/29/2023,106.174
9/28/2023,106.224
9/27/2023,106.666
9/26/2023,106.231
9/25/2023,105.998
9/22/2023,105.583
9/21/2023,105.363
9/20/2023,105.328
9/19/2023,105.133
9/18/2023,105.202
9/15/2023,105.322
9/14/2023,105.405
9/13/2023,104.766
9/12/2023,104.711
9/11/2023,104.569
9/8/2023,105.09
9/7/2023,105.059
9/6/2023,104.861
9/5/2023,104.807
