Date,Last Price
12/31/2025,290
11/30/2025,290
9/30/2025,300
8/31/2025,290
7/31/2025,310
6/30/2025,295
5/31/2025,295
4/30/2025,375
3/31/2025,380
2/28/2025,380
1/31/2025,380
12/31/2024,470
11/30/2024,470
10/31/2024,550
9/30/2024,550
8/31/2024,560
7/31/2024,435
6/30/2024,455
5/31/2024,445
4/30/2024,340
3/31/2024,315
2/29/2024,315
1/31/2024,280
12/31/2023,245
11/30/2023,245
10/31/2023,220
9/30/2023,220
8/31/2023,245
7/31/2023,300
6/30/2023,350
5/31/2023,335
4/30/2023,210
3/31/2023,210
2/28/2023,225
1/31/2023,210
12/31/2022,220
11/30/2022,220
10/31/2022,200
9/30/2022,200
8/31/2022,245
7/31/2022,230
6/30/2022,280
5/31/2022,310
4/30/2022,260
3/31/2022,285
2/28/2022,325
1/31/2022,350
12/31/2021,340
11/30/2021,340
10/31/2021,320
9/30/2021,185
8/31/2021,155
7/31/2021,155
6/30/2021,155
5/31/2021,140
4/30/2021,120
3/31/2021,120
2/28/2021,120
1/31/2021,140
12/31/2020,175
11/30/2020,190
10/31/2020,290
9/30/2020,460
8/31/2020,610
7/31/2020,425
6/30/2020,395
5/31/2020,405
4/30/2020,480
3/31/2020,425
2/29/2020,425
1/31/2020,475
12/31/2019,475
11/30/2019,475
10/31/2019,460
9/30/2019,640
8/31/2019,755
7/31/2019,795
6/30/2019,1045
5/31/2019,970
4/30/2019,895
3/31/2019,900
2/28/2019,910
12/31/2018,955
11/30/2018,955
10/31/2018,885
9/30/2018,845
8/31/2018,785
7/31/2018,580
6/30/2018,385
5/31/2018,415
4/30/2018,550
3/31/2018,555
2/28/2018,530
1/31/2018,470
12/31/2017,445
11/30/2017,425
10/31/2017,430
9/30/2017,475
8/31/2017,475
7/31/2017,460
6/30/2017,495
5/31/2017,480
4/30/2017,445
3/31/2017,435
2/28/2017,420
1/31/2017,420
12/31/2016,480
11/30/2016,480
10/31/2016,395
9/30/2016,365
8/31/2016,330
7/31/2016,290
6/30/2016,260
5/31/2016,305
4/30/2016,445
3/31/2016,460
2/29/2016,450
1/31/2016,440
12/31/2015,465
