Date,Last Price
12/31/2025,1635
11/30/2025,1635
9/30/2025,1685
8/31/2025,1705
7/31/2025,1745
6/30/2025,1815
5/31/2025,1815
4/30/2025,1825
3/31/2025,1825
2/28/2025,1825
1/31/2025,1825
12/31/2024,1825
11/30/2024,1825
10/31/2024,1850
9/30/2024,1850
8/31/2024,1850
7/31/2024,1825
6/30/2024,1825
5/31/2024,1825
4/30/2024,1700
3/31/2024,1720
2/29/2024,1720
1/31/2024,1755
12/31/2023,1755
11/30/2023,1755
10/31/2023,1755
9/30/2023,1790
8/31/2023,1825
7/31/2023,1850
6/30/2023,1975
5/31/2023,1975
4/30/2023,2015
3/31/2023,2015
2/28/2023,1990
1/31/2023,1990
12/31/2022,2045
11/30/2022,2045
10/31/2022,2045
9/30/2022,2085
8/31/2022,2155
7/31/2022,2135
6/30/2022,2200
5/31/2022,2200
4/30/2022,2115
3/31/2022,2090
2/28/2022,2050
1/31/2022,2050
12/31/2021,2050
11/30/2021,2050
10/31/2021,2090
9/30/2021,2090
8/31/2021,2055
7/31/2021,2075
6/30/2021,2075
5/31/2021,2075
4/30/2021,2280
3/31/2021,2250
2/28/2021,2250
1/31/2021,2230
12/31/2020,2200
11/30/2020,2200
10/31/2020,2200
9/30/2020,2125
8/31/2020,2125
7/31/2020,2050
6/30/2020,2050
5/31/2020,2050
4/30/2020,1775
3/31/2020,1825
2/29/2020,1825
1/31/2020,1775
12/31/2019,1775
11/30/2019,1775
10/31/2019,1775
9/30/2019,1775
8/31/2019,1775
7/31/2019,1875
6/30/2019,1950
5/31/2019,1950
4/30/2019,1775
3/31/2019,1825
2/28/2019,1825
1/31/2019,1775
12/31/2018,1900
11/30/2018,1900
10/31/2018,2060
9/30/2018,2060
8/31/2018,2060
7/31/2018,2040
6/30/2018,2290
5/31/2018,2290
4/30/2018,2065
3/31/2018,2065
2/28/2018,2100
1/31/2018,2160
12/31/2017,2225
11/30/2017,2250
10/31/2017,2250
9/30/2017,2250
8/31/2017,2225
7/31/2017,2150
6/30/2017,2150
5/31/2017,2150
4/30/2017,2025
3/31/2017,2025
2/28/2017,2050
1/31/2017,2050
12/31/2016,2050
11/30/2016,2050
10/31/2016,2025
9/30/2016,1985
8/31/2016,1950
7/31/2016,1920
6/30/2016,1900
5/31/2016,1885
4/30/2016,1705
3/31/2016,1690
2/29/2016,1690
1/31/2016,1690
12/31/2015,1715
