Date,Last Price
12/31/2025,53
11/30/2025,53
9/30/2025,53.5
8/31/2025,53.6
7/31/2025,52.5
6/30/2025,52.5
5/31/2025,52.5
4/30/2025,50.7
3/31/2025,50.7
2/28/2025,50.7
1/31/2025,50.7
12/31/2024,51.7
11/30/2024,51.7
10/31/2024,53.1
9/30/2024,53.2
8/31/2024,53.2
7/31/2024,52
6/30/2024,52
5/31/2024,52
4/30/2024,50.6
3/31/2024,50.6
2/29/2024,50.6
1/31/2024,50.6
12/31/2023,49.9
11/30/2023,49.9
10/31/2023,49.6
9/30/2023,50.1
8/31/2023,50.9
7/31/2023,52
6/30/2023,52
5/31/2023,52
4/30/2023,49.5
3/31/2023,49.5
2/28/2023,49.5
1/31/2023,49.5
12/31/2022,50.2
11/30/2022,50.2
10/31/2022,49.8
9/30/2022,50.5
8/31/2022,51.9
7/31/2022,51.5
6/30/2022,51.5
5/31/2022,51.5
4/30/2022,51.4
3/31/2022,51.4
2/28/2022,51.4
1/31/2022,51.4
12/31/2021,51.2
11/30/2021,51.2
10/31/2021,51.5
9/30/2021,50.6
8/31/2021,50
7/31/2021,50.8
6/30/2021,50.8
5/31/2021,50.8
4/30/2021,50.2
3/31/2021,50.2
2/28/2021,50.2
1/31/2021,50.2
12/31/2020,50.7
11/30/2020,50.7
10/31/2020,51.9
9/30/2020,51.9
8/31/2020,53.3
7/31/2020,49.8
6/30/2020,49.8
5/31/2020,49.8
4/30/2020,47.4
3/31/2020,47.4
2/29/2020,47.4
1/31/2020,47.4
12/31/2019,46.9
11/30/2019,46.9
10/31/2019,46.9
9/30/2019,47.9
8/31/2019,48.5
7/31/2019,48.5
6/30/2019,49.5
5/31/2019,49.5
4/30/2019,47.4
3/31/2019,47.4
2/28/2019,47.4
1/31/2019,47.4
12/31/2018,52.1
11/30/2018,52.1
10/31/2018,53.1
9/30/2018,52.8
8/31/2018,51.6
7/31/2018,48.5
6/30/2018,48.5
5/31/2018,48.5
4/30/2018,49.1
3/31/2018,49.1
2/28/2018,49.1
1/31/2018,49.1
12/31/2017,49.5
11/30/2017,49.5
10/31/2017,49.5
9/30/2017,49.9
8/31/2017,49.4
7/31/2017,48
6/30/2017,48
5/31/2017,48
4/30/2017,52.1
3/31/2017,52.1
2/28/2017,52.1
1/31/2017,52.1
12/31/2016,52.5
11/30/2016,52.5
10/31/2016,51.4
9/30/2016,50.6
8/31/2016,48.9
7/31/2016,46.7
6/30/2016,46.7
5/31/2016,46.7
4/30/2016,48
3/31/2016,48
2/29/2016,48
1/31/2016,48
12/31/2015,48.3
