Date,Last Price
12/31/2025,901
11/30/2025,901
9/30/2025,844
8/31/2025,869
7/31/2025,890
6/30/2025,898
5/31/2025,923
4/30/2025,846
3/31/2025,819
2/28/2025,794
1/31/2025,798
12/31/2024,795
11/30/2024,815
10/31/2024,812
9/30/2024,828
8/31/2024,828
7/31/2024,856
6/30/2024,758
5/31/2024,766
4/30/2024,698
3/31/2024,673
2/29/2024,658
1/31/2024,648
12/31/2023,659
11/30/2023,684
10/31/2023,670
9/30/2023,615
8/31/2023,615
7/31/2023,592
6/30/2023,562
5/31/2023,556
4/30/2023,598
3/31/2023,568
2/28/2023,568
1/31/2023,567
12/31/2022,571
11/30/2022,571
10/31/2022,576
9/30/2022,610
8/31/2022,610
7/31/2022,639
6/30/2022,627
5/31/2022,619
4/30/2022,678
3/31/2022,653
2/28/2022,648
1/31/2022,628
12/31/2021,598
11/30/2021,583
10/31/2021,580
9/30/2021,615
8/31/2021,627
7/31/2021,665
6/30/2021,770
5/31/2021,774
4/30/2021,852
3/31/2021,836
2/28/2021,836
1/31/2021,836
12/31/2020,862
11/30/2020,877
10/31/2020,883
9/30/2020,925
8/31/2020,925
7/31/2020,942
6/30/2020,925
5/31/2020,909
4/30/2020,970
3/31/2020,940
2/29/2020,940
1/31/2020,965
12/31/2019,974
11/30/2019,1014
10/31/2019,1043
9/30/2019,1014
8/31/2019,1014
7/31/2019,1000
6/30/2019,1072
5/31/2019,1141
4/30/2019,1087
3/31/2019,1055
2/28/2019,1010
1/31/2019,974
12/31/2018,974
11/30/2018,949
10/31/2018,956
9/30/2018,935
8/31/2018,935
7/31/2018,985
6/30/2018,946
5/31/2018,955
4/30/2018,1064
3/31/2018,1034
2/28/2018,1009
1/31/2018,989
12/31/2017,960
11/30/2017,935
10/31/2017,960
9/30/2017,933
8/31/2017,933
7/31/2017,938
6/30/2017,924
5/31/2017,914
4/30/2017,1159
3/31/2017,1129
2/28/2017,1139
1/31/2017,1186
12/31/2016,1143
11/30/2016,1143
10/31/2016,1138
9/30/2016,1100
8/31/2016,1100
7/31/2016,1105
6/30/2016,1050
5/31/2016,1029
4/30/2016,976
3/31/2016,966
2/29/2016,966
1/31/2016,941
12/31/2015,911
