Date,Last Price
12/31/2025,6100
11/30/2025,6100
9/30/2025,6100
8/31/2025,6100
7/31/2025,5850
6/30/2025,5900
5/31/2025,5900
4/30/2025,5750
3/31/2025,5775
2/28/2025,5775
1/31/2025,5775
12/31/2024,5825
11/30/2024,5825
10/31/2024,5825
9/30/2024,5825
8/31/2024,5825
7/31/2024,5825
6/30/2024,5750
5/31/2024,5750
4/30/2024,5700
3/31/2024,5675
2/29/2024,5675
1/31/2024,5675
12/31/2023,5650
11/30/2023,5650
10/31/2023,5600
9/30/2023,5625
8/31/2023,5625
7/31/2023,5650
6/30/2023,5650
5/31/2023,5650
4/30/2023,5275
3/31/2023,5275
2/28/2023,5275
1/31/2023,5275
12/31/2022,5300
11/30/2022,5300
10/31/2022,5275
9/30/2022,5225
8/31/2022,5325
7/31/2022,5350
6/30/2022,5350
5/31/2022,5350
4/30/2022,5625
3/31/2022,5650
2/28/2022,5650
1/31/2022,5650
12/31/2021,5650
11/30/2021,5650
10/31/2021,5650
9/30/2021,5700
8/31/2021,5625
7/31/2021,5725
6/30/2021,5700
5/31/2021,5700
4/30/2021,5700
3/31/2021,5650
2/28/2021,5650
1/31/2021,5650
12/31/2020,5700
11/30/2020,5700
10/31/2020,5775
9/30/2020,5825
8/31/2020,5925
7/31/2020,5850
6/30/2020,6050
5/31/2020,6050
4/30/2020,5675
3/31/2020,5525
2/29/2020,5525
1/31/2020,5525
12/31/2019,5275
11/30/2019,5275
10/31/2019,5300
9/30/2019,5175
8/31/2019,5175
7/31/2019,5175
6/30/2019,5150
5/31/2019,5450
4/30/2019,5300
3/31/2019,5375
2/28/2019,5375
12/31/2018,5500
11/30/2018,5500
10/31/2018,5550
9/30/2018,5575
8/31/2018,5525
7/31/2018,5425
6/30/2018,5350
5/31/2018,5375
4/30/2018,5500
3/31/2018,5550
2/28/2018,5550
1/31/2018,5550
12/31/2017,5575
11/30/2017,5575
10/31/2017,5500
9/30/2017,5475
8/31/2017,5450
7/31/2017,5475
6/30/2017,5425
5/31/2017,5425
4/30/2017,5500
3/31/2017,5550
2/28/2017,5600
1/31/2017,5600
12/31/2016,5650
11/30/2016,5650
10/31/2016,5650
9/30/2016,5650
8/31/2016,5675
7/31/2016,5500
6/30/2016,5550
5/31/2016,5550
4/30/2016,5250
3/31/2016,5300
2/29/2016,5300
1/31/2016,5300
12/31/2015,5300
