date,is_wasde
2015-01-12,1
2015-02-10,1
2015-03-10,1
2015-04-09,1
2015-05-12,1
2015-06-10,1
2015-07-10,1
2015-08-12,1
2015-09-11,1
2015-10-09,1
2015-11-10,1
2015-12-09,1
2016-01-12,1
2016-02-09,1
2016-03-09,1
2016-04-12,1
2016-05-10,1
2016-06-10,1
2016-07-12,1
2016-08-12,1
2016-09-12,1
2016-10-12,1
2016-11-09,1
2016-12-09,1
2017-01-12,1
2017-02-09,1
2017-03-09,1
2017-04-11,1
2017-05-10,1
2017-06-09,1
2017-07-12,1
2017-08-10,1
2017-09-12,1
2017-10-12,1
2017-11-09,1
2017-12-12,1
2018-01-12,1
2018-02-08,1
2018-03-08,1
2018-04-10,1
2018-05-10,1
2018-06-12,1
2018-07-12,1
2018-08-10,1
2018-09-12,1
2018-10-11,1
2018-11-08,1
2018-12-11,1
2019-01-11,1
2019-02-08,1
2019-03-08,1
2019-04-09,1
2019-05-10,1
2019-06-11,1
2019-07-11,1
2019-08-12,1
2019-09-12,1
2019-10-10,1
2019-11-08,1
2019-12-10,1
2020-01-10,1
2020-02-11,1
2020-03-10,1
2020-04-09,1
2020-05-12,1
2020-06-11,1
2020-07-10,1
2020-08-12,1
2020-09-11,1
2020-10-09,1
2020-11-10,1
2020-12-10,1
2021-01-12,1
2021-02-09,1
2021-03-09,1
2021-04-09,1
2021-05-12,1
2021-06-10,1
2021-07-12,1
2021-08-12,1
2021-09-10,1
2021-10-12,1
2021-11-09,1
2021-12-09,1
2022-01-12,1
2022-02-09,1
2022-03-09,1
2022-04-08,1
2022-05-12,1
2022-06-10,1
2022-07-12,1
2022-08-12,1
2022-09-12,1
2022-10-12,1
2022-11-09,1
2022-12-09,1
2023-01-12,1
2023-02-08,1
2023-03-08,1
2023-04-11,1
2023-05-12,1
2023-06-09,1
2023-07-12,1
2023-08-11,1
2023-09-12,1
2023-10-12,1
2023-11-09,1
2023-12-08,1
2024-01-12,1
2024-02-08,1
2024-03-08,1
2024-04-11,1
2024-05-10,1
2024-06-12,1
2024-07-12,1
2024-08-12,1
2024-09-12,1
2024-10-11,1
2024-11-08,1
2024-12-10,1
2025-01-10,1
2025-02-11,1
2025-03-11,1
2025-04-10,1
2025-05-12,1
2025-06-12,1
2025-07-11,1
2025-08-12,1
2025-09-12,1
2025-11-14,1
2025-12-09,1
2026-01-12,1
2026-02-10,1
2026-03-10,1
2026-04-09,1
2026-05-12,1
2026-06-11,1
2026-07-10,1
2026-08-12,1
2026-09-11,1
2026-10-09,1
2026-11-10,1
2026-12-10,1
