Date,Last Price
12/31/2025,1985
11/30/2025,1985
9/30/2025,1927
8/31/2025,1927
7/31/2025,1929
6/30/2025,1921
5/31/2025,1921
4/30/2025,1971
3/31/2025,1971
2/28/2025,1971
1/31/2025,1971
12/31/2024,1971
11/30/2024,1971
10/31/2024,1971
9/30/2024,1982
8/31/2024,1982
7/31/2024,2008
6/30/2024,1875
5/31/2024,1858
4/30/2024,1812
3/31/2024,1812
2/29/2024,1812
1/31/2024,1812
12/31/2023,1812
11/30/2023,1812
10/31/2023,1812
9/30/2023,1734
8/31/2023,1734
7/31/2023,1739
6/30/2023,1665
5/31/2023,1659
4/30/2023,1650
3/31/2023,1650
2/28/2023,1650
1/31/2023,1650
12/31/2022,1650
11/30/2022,1650
10/31/2022,1650
9/30/2022,1783
8/31/2022,1783
7/31/2022,1781
6/30/2022,1737
5/31/2022,1729
4/30/2022,1646
3/31/2022,1646
2/28/2022,1646
1/31/2022,1646
12/31/2021,1646
11/30/2021,1646
10/31/2021,1646
9/30/2021,1697
8/31/2021,1697
7/31/2021,1746
6/30/2021,1898
5/31/2021,1872
4/30/2021,1826
3/31/2021,1826
2/28/2021,1826
1/31/2021,1826
12/31/2020,1826
11/30/2020,1826
10/31/2020,1826
9/30/2020,1838
8/31/2020,1838
7/31/2020,1824
6/30/2020,1877
5/31/2020,1866
4/30/2020,1920
3/31/2020,1920
2/29/2020,1920
1/31/2020,1920
12/31/2019,1920
11/30/2019,1920
10/31/2019,1962
9/30/2019,1980
8/31/2019,1980
7/31/2019,1921
6/30/2019,1903
5/31/2019,1897
4/30/2019,1884
3/31/2019,1884
2/28/2019,1884
12/31/2018,1884
11/30/2018,1884
10/31/2018,1884
9/30/2018,1877
8/31/2018,1877
7/31/2018,1881
6/30/2018,1827
5/31/2018,1821
4/30/2018,1741
3/31/2018,1741
2/28/2018,1741
1/31/2018,1741
12/31/2017,1741
11/30/2017,1741
10/31/2017,1741
9/30/2017,1740.6
8/31/2017,1739
7/31/2017,1760
6/30/2017,1824
5/31/2017,1820
4/30/2017,2310
3/31/2017,2310
2/28/2017,2310
1/31/2017,2310
12/31/2016,2310
11/30/2016,2310
10/31/2016,2310
9/30/2016,2321
8/31/2016,2321
7/31/2016,2261
6/30/2016,2077
5/31/2016,1998
4/30/2016,2052
3/31/2016,2052
2/29/2016,2052
1/31/2016,2052
12/31/2015,2052
