Date,Last Price
12/31/2025,274.87
11/30/2025,271.43
9/30/2025,264.06
8/31/2025,260.08
7/31/2025,261.52
6/30/2025,262.76
5/31/2025,265.73
4/30/2025,260.7
3/31/2025,260.08
2/28/2025,257.56
1/31/2025,258.82
12/31/2024,257.88
11/30/2024,257.57
10/31/2024,257.72
9/30/2024,257.22
8/31/2024,256.62
7/31/2024,257.24
6/30/2024,252.27
5/31/2024,253.61
4/30/2024,258.27
3/31/2024,258.83
2/29/2024,259.44
1/31/2024,260.03
12/31/2023,258.2
11/30/2023,258.69
10/31/2023,258.13
9/30/2023,258.61
8/31/2023,265.61
7/31/2023,266.53
6/30/2023,270.71
5/31/2023,264.34
4/30/2023,265.05
3/31/2023,267.2
2/28/2023,269.34
1/31/2023,268.39
12/31/2022,267.33
11/30/2022,267.82
10/31/2022,267.54
9/30/2022,268.57
8/31/2022,267.34
7/31/2022,267.52
6/30/2022,266.85
5/31/2022,267.02
4/30/2022,278.42
3/31/2022,281.51
2/28/2022,278.21
1/31/2022,279.95
12/31/2021,278.18
11/30/2021,275.8
10/31/2021,277.18
9/30/2021,283.22
8/31/2021,279.06
7/31/2021,291.68
6/30/2021,296.8
5/31/2021,294.96
4/30/2021,295.52
3/31/2021,301.19
2/28/2021,304.22
1/31/2021,313.19
12/31/2020,316.5
11/30/2020,320.45
10/31/2020,321.45
9/30/2020,319.37
8/31/2020,316.79
7/31/2020,314.84
6/30/2020,316.09
5/31/2020,310.12
4/30/2020,292.78
3/31/2020,287.14
2/29/2020,288.03
1/31/2020,288.08
12/31/2019,289.5
11/30/2019,288.28
10/31/2019,287.8
9/30/2019,286.51
8/31/2019,285.4
7/31/2019,286.46
6/30/2019,294.34
5/31/2019,293.01
4/30/2019,275.61
3/31/2019,270.53
2/28/2019,267.53
12/31/2018,268.1
11/30/2018,266.71
10/31/2018,260.18
9/30/2018,261.29
8/31/2018,258.96
7/31/2018,260.88
6/30/2018,266.16
5/31/2018,264.33
4/30/2018,271.22
3/31/2018,268.89
2/28/2018,266.1
1/31/2018,268.02
12/31/2017,268.42
11/30/2017,267.53
10/31/2017,268.13
9/30/2017,263.14
8/31/2017,264.69
7/31/2017,260.6
6/30/2017,261.19
5/31/2017,258.29
4/30/2017,252.26
3/31/2017,249.94
2/28/2017,248.61
1/31/2017,253.29
12/31/2016,252.14
11/30/2016,249.23
10/31/2016,248.37
9/30/2016,249.07
8/31/2016,252.82
7/31/2016,253.7
6/30/2016,257.84
5/31/2016,257.34
4/30/2016,239.26
3/31/2016,237.59
2/29/2016,238.87
1/31/2016,232.04
12/31/2015,229.86
