date,c1_bid,c1_oi,c1_vol,c2_bid,c2_oi,c2_vol
2020-12-09,420.0,2327.0,1079.0,423.25,872171.0,87642.0
2020-12-10,419.0,1432.0,1262.0,421.75,870347.0,129701.0
2020-12-11,424.5,219.0,1724.0,423.5,867614.0,105879.0
2020-12-14,,69.0,200.0,424.0,862016.0,108692.0
2020-12-15,424.75,858006.0,98612.0,428.25,246440.0,29411.0
2020-12-16,426.25,852176.0,111651.0,429.0,247669.0,41015.0
2020-12-17,432.0,850530.0,119655.0,434.0,248154.0,23390.0
2020-12-18,436.75,849771.0,128812.0,439.0,250733.0,35957.0
2020-12-21,440.0,845125.0,141947.0,441.75,251932.0,33145.0
2020-12-22,443.0,848793.0,140992.0,443.5,253287.0,34063.0
2020-12-23,447.0,847087.0,147651.0,447.5,255554.0,43217.0
2020-12-24,450.5,844319.0,74879.0,446.25,256070.0,18148.0
2020-12-28,456.5,836060.0,145219.0,456.75,257842.0,39206.0
2020-12-29,466.0,833728.0,191298.0,465.5,265308.0,65840.0
2020-12-30,474.0,831878.0,163367.0,473.0,269386.0,48366.0
2020-12-31,484.0,835996.0,168459.0,483.25,272697.0,43430.0
2021-01-04,484.5,831459.0,265157.0,484.75,281289.0,86562.0
2021-01-05,492.5,826848.0,219646.0,492.5,290294.0,68287.0
2021-01-06,495.25,831675.0,202374.0,495.75,306621.0,79113.0
2021-01-07,494.0,824202.0,185782.0,495.0,325940.0,81336.0
2021-01-08,496.25,819155.0,163270.0,497.0,331130.0,64602.0
2021-01-11,491.25,804053.0,176563.0,492.75,333786.0,65234.0
2021-01-12,517.25,802695.0,248448.0,519.0,350866.0,118998.0
2021-01-13,522.5,799333.0,327689.0,527.0,355642.0,140652.0
2021-01-14,534.0,782102.0,210370.0,537.75,370387.0,100391.0
2021-01-15,530.25,763830.0,167504.0,533.0,375019.0,73837.0
2021-01-19,525.0,745487.0,188564.0,526.5,373260.0,83484.0
2021-01-20,521.75,732214.0,217777.0,523.0,391405.0,89349.0
2021-01-21,524.0,724336.0,169566.0,525.75,400999.0,68678.0
2021-01-22,500.5,697248.0,289548.0,501.5,410286.0,98837.0
2021-01-25,512.0,686154.0,264763.0,514.0,419073.0,100172.0
2021-01-26,530.75,677404.0,232259.0,532.75,433377.0,112746.0
2021-01-27,532.5,663403.0,223887.0,533.5,440299.0,95124.0
2021-01-28,534.0,658302.0,252543.0,531.75,444723.0,130588.0
2021-01-29,547.0,645329.0,279607.0,545.0,456798.0,148724.0
2021-02-01,549.75,629626.0,219066.0,548.25,461440.0,106627.0
2021-02-02,543.0,613697.0,175739.0,541.5,465332.0,89263.0
2021-02-03,551.5,605755.0,210137.0,549.0,476007.0,110263.0
2021-02-04,549.0,592096.0,217079.0,547.5,482552.0,122103.0
2021-02-05,548.0,553608.0,216445.0,546.0,503837.0,144686.0
2021-02-08,564.5,516003.0,267647.0,561.75,527365.0,184673.0
2021-02-09,555.5,461987.0,390741.0,557.0,569897.0,257642.0
2021-02-10,532.5,421496.0,285720.0,532.0,596856.0,187442.0
2021-02-11,540.0,387476.0,261046.0,538.0,629781.0,196468.0
2021-02-12,539.25,374745.0,117970.0,536.5,638460.0,76850.0
2021-02-16,551.5,345313.0,146173.0,548.75,643785.0,93764.0
2021-02-17,552.0,330757.0,121352.0,549.5,658602.0,91859.0
2021-02-18,549.5,310701.0,123409.0,548.0,689393.0,104708.0
2021-02-19,544.0,226599.0,203468.0,542.0,730144.0,187959.0
2021-02-22,550.5,183406.0,140629.0,550.25,749224.0,152270.0
2021-02-23,553.5,154367.0,134967.0,552.5,767566.0,192743.0
2021-02-24,559.75,89614.0,174397.0,556.5,777336.0,230060.0
2021-02-25,555.0,35443.0,128538.0,549.5,779651.0,278936.0
2021-02-26,555.0,21134.0,21395.0,548.0,772922.0,168514.0
2021-03-01,549.0,16588.0,6534.0,538.5,768720.0,148415.0
2021-03-02,560.0,10717.0,8112.0,543.75,759332.0,178021.0
2021-03-03,550.0,8135.0,3809.0,534.25,753435.0,132319.0
2021-03-04,545.0,6801.0,2129.0,532.25,748851.0,153481.0
2021-03-05,546.0,5794.0,1441.0,545.5,743959.0,137762.0
2021-03-08,560.0,4035.0,2320.0,547.0,737340.0,162292.0
2021-03-09,551.75,2283.0,2224.0,545.25,732053.0,138207.0
2021-03-10,541.0,654.0,1986.0,533.0,722846.0,169761.0
2021-03-11,541.0,158.0,672.0,537.75,711911.0,121518.0
2021-03-12,,143.0,66.0,540.0,706090.0,123442.0
2021-03-15,548.0,705501.0,140615.0,535.75,408423.0,56701.0
2021-03-16,553.0,699655.0,132710.0,541.0,409108.0,55959.0
2021-03-17,556.0,690358.0,129647.0,540.25,412976.0,58068.0
2021-03-18,546.5,682472.0,157912.0,530.5,400416.0,82610.0
2021-03-19,557.0,674236.0,158521.0,536.0,395027.0,73556.0
2021-03-22,550.0,668058.0,129296.0,532.75,401128.0,52354.0
2021-03-23,551.5,657706.0,122094.0,533.75,406369.0,53516.0
2021-03-24,552.5,650917.0,92011.0,535.25,408979.0,43878.0
2021-03-25,546.25,646977.0,142181.0,532.5,411915.0,64090.0
2021-03-26,551.75,643481.0,124031.0,534.75,414367.0,53091.0
2021-03-29,546.0,637172.0,119797.0,530.0,420273.0,46087.0
2021-03-30,538.0,628760.0,136033.0,520.75,421513.0,63278.0
2021-03-31,564.25,622246.0,145896.0,547.5,422345.0,87684.0
2021-04-01,558.75,615378.0,249753.0,544.0,429258.0,108989.0
2021-04-02,558.75,615169.0,,544.0,429257.0,
2021-04-05,553.0,602184.0,143679.0,538.25,437398.0,88758.0
2021-04-06,554.5,583487.0,134848.0,541.0,446709.0,77425.0
2021-04-07,560.25,576150.0,158002.0,546.0,455309.0,107171.0
2021-04-08,579.0,556250.0,258786.0,561.0,480754.0,187448.0
2021-04-09,576.25,515588.0,249738.0,561.5,518324.0,172077.0
2021-04-12,568.0,468245.0,198642.0,555.0,560004.0,149566.0
2021-04-13,580.0,424205.0,225715.0,566.25,606470.0,176626.0
2021-04-14,593.75,388909.0,242724.0,579.0,652174.0,186944.0
2021-04-15,589.75,354032.0,176855.0,577.0,678176.0,138034.0
2021-04-16,587.0,323909.0,165261.0,575.0,705249.0,138956.0
2021-04-19,592.0,293449.0,105991.0,580.0,714917.0,81451.0
2021-04-20,607.25,268597.0,180193.0,592.0,721045.0,172258.0
2021-04-21,626.0,248742.0,163261.0,605.25,735313.0,183005.0
2021-04-22,650.5,231523.0,147251.0,631.5,739985.0,179247.0
