date,s1_bid,s1_oi,s1_vol,s2_bid,s2_oi,s2_vol
2020-12-09,1158.25,208104.0,121502.0,1163.5,300525.0,90650.0
2020-12-10,1154.0,193333.0,202110.0,1157.0,311111.0,121428.0
2020-12-11,1156.0,179304.0,129424.0,1160.0,326259.0,82893.0
2020-12-14,1168.5,171289.0,101997.0,1173.5,326249.0,58809.0
2020-12-15,1182.5,163535.0,128713.0,1189.0,334272.0,71589.0
2020-12-16,1181.75,148691.0,122886.0,1185.0,350634.0,95554.0
2020-12-17,1204.5,141343.0,125030.0,1205.5,363880.0,102177.0
2020-12-18,1217.0,129368.0,110919.0,1220.5,376005.0,102066.0
2020-12-21,1241.5,118882.0,129147.0,1247.0,389479.0,154422.0
2020-12-22,1247.75,102115.0,102551.0,1251.0,391121.0,127913.0
2020-12-23,1256.0,86074.0,93382.0,1262.0,394312.0,121837.0
2020-12-24,1261.0,61607.0,41312.0,1261.25,399338.0,69536.0
2020-12-28,1249.0,33750.0,56756.0,1256.75,400329.0,147552.0
2020-12-29,1295.0,15691.0,43283.0,1296.0,409271.0,162644.0
2020-12-30,1295.5,6001.0,24625.0,1298.0,411939.0,150666.0
2020-12-31,1312.0,4198.0,3634.0,1307.0,410499.0,115566.0
2021-01-04,1307.0,3071.0,2421.0,1311.0,412568.0,200649.0
2021-01-05,1342.0,2499.0,1194.0,1356.75,407859.0,204605.0
2021-01-06,1345.0,1962.0,880.0,1368.0,408541.0,161320.0
2021-01-07,1350.0,1133.0,1097.0,1355.0,406514.0,150334.0
2021-01-08,1351.75,689.0,810.0,1375.0,405929.0,140360.0
2021-01-11,1374.5,462.0,365.0,1372.5,392369.0,143484.0
2021-01-12,1351.75,199.0,331.0,1418.0,389247.0,167397.0
2021-01-13,1271.5,52.0,242.0,1405.0,382289.0,137450.0
2021-01-14,,11.0,12.0,1432.25,378606.0,109224.0
2021-01-15,1421.75,375156.0,102084.0,1414.75,172516.0,36396.0
2021-01-19,1385.0,366235.0,129335.0,1383.0,172091.0,48297.0
2021-01-20,1368.75,358270.0,182300.0,1362.25,173185.0,53327.0
2021-01-21,1367.5,352896.0,118977.0,1365.0,174200.0,34117.0
2021-01-22,1307.75,338462.0,203991.0,1311.5,176526.0,70399.0
2021-01-25,1345.75,332410.0,150390.0,1343.0,177441.0,47324.0
2021-01-26,1368.75,328931.0,116570.0,1369.0,182148.0,46000.0
2021-01-27,1370.75,312837.0,176959.0,1370.0,185524.0,78654.0
2021-01-28,1350.0,307001.0,147312.0,1347.75,184991.0,71449.0
2021-01-29,1363.75,305373.0,140139.0,1361.0,186293.0,64239.0
2021-02-01,1365.0,300123.0,122610.0,1363.0,189703.0,56122.0
2021-02-02,1351.0,299187.0,101229.0,1344.0,188845.0,43557.0
2021-02-03,1368.0,295750.0,104412.0,1362.75,192480.0,48151.0
2021-02-04,1370.0,291246.0,105595.0,1363.0,191770.0,66828.0
2021-02-05,1366.75,270906.0,125252.0,1365.0,206118.0,86959.0
2021-02-08,1389.0,255638.0,132805.0,1389.0,213979.0,89280.0
2021-02-09,1404.25,236722.0,183992.0,1402.0,234957.0,114104.0
2021-02-10,1352.5,222032.0,171264.0,1352.5,254701.0,104938.0
2021-02-11,1368.0,205732.0,133481.0,1361.5,269773.0,92718.0
2021-02-12,1371.0,195952.0,89711.0,1362.5,274257.0,58887.0
2021-02-16,1385.0,174951.0,115890.0,1382.5,275168.0,95224.0
2021-02-17,1384.0,166991.0,75855.0,1384.75,281494.0,68554.0
2021-02-18,1377.0,150525.0,114634.0,1379.75,296114.0,85745.0
2021-02-19,1374.75,99633.0,140822.0,1379.0,322754.0,118332.0
2021-02-22,1380.0,70941.0,124120.0,1388.5,339586.0,131827.0
2021-02-23,1405.5,48129.0,88637.0,1408.0,360520.0,169884.0
2021-02-24,1420.0,21712.0,66143.0,1420.25,361949.0,140127.0
2021-02-25,1407.0,5150.0,44673.0,1405.0,360501.0,184671.0
2021-02-26,1380.0,2734.0,5701.0,1406.25,356633.0,117310.0
2021-03-01,1391.0,1943.0,1258.0,1392.5,356975.0,106588.0
2021-03-02,1385.0,1489.0,680.0,1412.5,353265.0,110167.0
2021-03-03,1405.0,1028.0,619.0,1407.5,351828.0,83314.0
2021-03-04,1405.0,777.0,385.0,1410.0,353933.0,140366.0
2021-03-05,1420.0,704.0,171.0,1430.0,356513.0,94022.0
2021-03-08,1430.0,581.0,149.0,1433.0,358690.0,103932.0
2021-03-09,1405.0,451.0,186.0,1439.75,352602.0,115316.0
2021-03-10,1405.0,166.0,340.0,1410.0,347640.0,124169.0
2021-03-11,1336.5,26.0,180.0,1413.5,342592.0,95557.0
2021-03-12,,3.0,25.0,1410.0,337704.0,100480.0
2021-03-15,1419.0,332208.0,82218.0,1407.5,180822.0,39929.0
2021-03-16,1423.0,325805.0,71215.0,1407.75,185881.0,37661.0
2021-03-17,1413.75,320119.0,69409.0,1400.75,187967.0,41004.0
2021-03-18,1391.75,319039.0,93486.0,1378.25,188804.0,44260.0
2021-03-19,1415.0,318508.0,86775.0,1400.0,189840.0,36302.0
2021-03-22,1416.0,315149.0,77293.0,1402.0,190122.0,30152.0
2021-03-23,1422.25,314610.0,108200.0,1409.0,189836.0,60235.0
2021-03-24,1431.5,312064.0,78103.0,1415.0,189194.0,49085.0
2021-03-25,1414.25,307757.0,104662.0,1400.25,189525.0,56548.0
2021-03-26,1400.0,308841.0,100389.0,1390.0,193487.0,61670.0
2021-03-29,1390.0,305045.0,98533.0,1385.5,195315.0,47810.0
