date,c1_bid,c1_oi,c1_vol,c2_bid,c2_oi,c2_vol,spread_c1_c2,spread_pct,d_c1_oi,d_c2_oi,roll_pressure,vol_ratio,oi_ratio,ret_1d,ret_5d,ret_21d,ending_stocks,stocks_change,stocks_surprise,stocks_surprise_z,yield,yield_change,yield_surprise,yield_surprise_z,residual,residual_change,residual_surprise,residual_surprise_z
2020-12-09,420.0,2327.0,1079.0,423.25,872171.0,87642.0,-3.25,-0.0077380952380768,,,,0.0123114488487253,0.0026680547736625,,,,1702,,,,175.8,,,,5700,,,
2020-12-10,419.0,1432.0,1262.0,421.75,870347.0,129701.0,-2.75,-0.0065632458233733,-895.0,-1824.0,929.0,0.009730071472078,0.0016453207743578,-0.0023809523809523,,,1702,0.0,0.0,,175.8,0.0,0.0,,5700,0.0,0.0,
2020-12-11,424.5,219.0,1724.0,423.5,867614.0,105879.0,1.0,0.0023557126030568,-1213.0,-2733.0,1520.0,0.0162827378422537,0.0002524163971535,0.0131264916467781,,,1702,0.0,0.0,0.0,175.8,0.0,0.0,0.0,5700,0.0,0.0,0.0
2020-12-14,,69.0,200.0,424.0,862016.0,108692.0,,,-150.0,-5598.0,5448.0,0.0018400618260773,8.004491795975935e-05,0.0,,,1702,0.0,0.0,0.0,175.8,0.0,0.0,0.0,5700,0.0,0.0,0.0
2020-12-15,424.75,858006.0,98612.0,428.25,246440.0,29411.0,-3.5,-0.008240141259545,857937.0,-615576.0,1473513.0,3.352895175274443,3.4816020126602685,0.0005889281507656,,,1702,0.0,0.0,0.0,175.8,0.0,0.0,0.0,5700,0.0,0.0,0.0
2020-12-16,426.25,852176.0,111651.0,429.0,247669.0,41015.0,-2.75,-0.0064516129032106,-5830.0,1229.0,-7059.0,2.7221991954162448,3.4407858876161193,0.0035314891112419,0.0148809523809523,,1702,0.0,0.0,0.0,175.8,0.0,0.0,0.0,5700,0.0,0.0,0.0
2020-12-17,432.0,850530.0,119655.0,434.0,248154.0,23390.0,-2.0,-0.0046296296296189,-1646.0,485.0,-2131.0,5.115647712697515,3.427428129306788,0.0134897360703811,0.0310262529832936,,1702,0.0,0.0,0.0,175.8,0.0,0.0,0.0,5700,0.0,0.0,0.0
2020-12-18,436.75,849771.0,128812.0,439.0,250733.0,35957.0,-2.25,-0.0051516886090322,-759.0,2579.0,-3338.0,3.582390077036361,3.3891470209346064,0.0109953703703704,0.0288574793875147,,1702,0.0,0.0,0.0,175.8,0.0,0.0,0.0,5700,0.0,0.0,0.0
2020-12-21,440.0,845125.0,141947.0,441.75,251932.0,33145.0,-1.75,-0.0039772727272636,-4646.0,1199.0,-5845.0,4.282606728013146,3.3545758379245063,0.0074413279908414,0.0365135453474676,,1702,0.0,0.0,0.0,175.8,0.0,0.0,0.0,5700,0.0,0.0,0.0
2020-12-22,443.0,848793.0,140992.0,443.5,253287.0,34063.0,-0.5,-0.001128668171555,3668.0,1355.0,2313.0,4.139153920676272,3.351111584881959,0.0068181818181818,0.0429664508534433,,1702,0.0,0.0,0.0,175.8,0.0,0.0,0.0,5700,0.0,0.0,0.0
2020-12-23,447.0,847087.0,147651.0,447.5,255554.0,43217.0,-0.5,-0.0011185682326596,-1706.0,2267.0,-3973.0,3.4165027651155007,3.314708437355693,0.0090293453724605,0.0486803519061582,,1702,0.0,0.0,0.0,175.8,0.0,0.0,0.0,5700,0.0,0.0,0.0
