Date,Last Price
12/31/2025,2029
11/30/2025,2154
9/30/2025,2110
8/31/2025,2117
7/31/2025,1660
6/30/2025,1750
5/31/2025,1800
4/30/2025,1465
3/31/2025,1540
2/28/2025,1540
1/31/2025,1540
12/31/2024,1738
11/30/2024,1938
10/31/2024,1999
9/30/2024,2057
8/31/2024,2073
7/31/2024,2097
6/30/2024,2102
5/31/2024,2102
4/30/2024,2122
3/31/2024,2172
2/29/2024,2172
1/31/2024,2162
12/31/2023,2131
11/30/2023,2156
10/31/2023,2111
9/30/2023,2221
8/31/2023,2202
7/31/2023,2262
6/30/2023,2257
5/31/2023,2222
4/30/2023,1342
3/31/2023,1342
2/28/2023,1267
1/31/2023,1242
12/31/2022,1257
11/30/2022,1182
10/31/2022,1172
9/30/2022,1219
8/31/2022,1388
7/31/2022,1470
6/30/2022,1400
5/31/2022,1360
4/30/2022,1440
3/31/2022,1440
2/28/2022,1540
1/31/2022,1540
12/31/2021,1493
11/30/2021,1493
10/31/2021,1500
9/30/2021,1408
8/31/2021,1242
7/31/2021,1432
6/30/2021,1357
5/31/2021,1507
4/30/2021,1352
3/31/2021,1502
2/28/2021,1502
1/31/2021,1552
12/31/2020,1702
11/30/2020,1702
10/31/2020,2167
9/30/2020,2503
8/31/2020,2756
7/31/2020,2648
6/30/2020,3323
5/31/2020,3318
4/30/2020,2092
3/31/2020,1892
2/29/2020,1892
1/31/2020,1892
12/31/2019,1910
11/30/2019,1910
10/31/2019,1929
9/30/2019,2190
8/31/2019,2181
7/31/2019,2010
6/30/2019,1675
5/31/2019,2485
4/30/2019,2035
3/31/2019,1835
2/28/2019,1735
12/31/2018,1781
11/30/2018,1736
10/31/2018,1813
9/30/2018,1774
8/31/2018,1684
7/31/2018,1552
6/30/2018,1577
5/31/2018,1682
4/30/2018,2182
3/31/2018,2127
2/28/2018,2352
1/31/2018,2477
12/31/2017,2437
11/30/2017,2487
10/31/2017,2340
9/30/2017,2335
8/31/2017,2273
7/31/2017,2325
6/30/2017,2110
5/31/2017,2110
4/30/2017,2320
3/31/2017,2320
2/28/2017,2320
1/31/2017,2355
12/31/2016,2403
11/30/2016,2403
10/31/2016,2320
9/30/2016,2384
8/31/2016,2409
7/31/2016,2081
6/30/2016,2008
5/31/2016,2153
4/30/2016,1862
3/31/2016,1837
2/29/2016,1837
1/31/2016,1802
12/31/2015,1785
11/30/2015,1760
10/31/2015,1561
9/30/2015,1592
8/31/2015,1713
7/31/2015,1599
6/30/2015,1771
5/31/2015,1746
4/30/2015,1827
3/31/2015,1777
2/28/2015,1827
1/31/2015,1877
12/31/2014,1998
11/30/2014,2008
10/31/2014,2081
9/30/2014,2002
8/31/2014,1808
7/31/2014,1801
6/30/2014,1726
5/31/2014,1726
4/30/2014,1331
3/31/2014,1456
2/28/2014,1481
1/31/2014,1631
12/31/2013,1792
11/30/2013,1887
9/30/2013,1855
8/31/2013,1837
7/31/2013,1959
6/30/2013,1949
5/31/2013,2004
4/30/2013,757
3/31/2013,632
2/28/2013,632
1/31/2013,602
12/31/2012,647
11/30/2012,647
10/31/2012,619
9/30/2012,733
8/31/2012,650
7/31/2012,1183
6/30/2012,1881
5/31/2012,1881
4/30/2012,801
3/31/2012,801
2/29/2012,801
1/31/2012,846
12/31/2011,848
11/30/2011,843
10/31/2011,866
9/30/2011,672
8/31/2011,714
7/31/2011,870
6/30/2011,695
5/31/2011,900
4/30/2011,675
3/31/2011,675
2/28/2011,675
1/31/2011,745
12/31/2010,832
