Date,Last Price
12/31/2025,186
11/30/2025,186
9/30/2025,186.7
8/31/2025,188.8
7/31/2025,181
6/30/2025,181
5/31/2025,181
4/30/2025,179.3
3/31/2025,179.3
2/28/2025,179.3
1/31/2025,179.3
12/31/2024,183.1
11/30/2024,183.1
10/31/2024,183.8
9/30/2024,183.6
8/31/2024,183.1
7/31/2024,181
6/30/2024,181
5/31/2024,181
4/30/2024,177.3
3/31/2024,177.3
2/29/2024,177.3
1/31/2024,177.3
12/31/2023,174.9
11/30/2023,174.9
10/31/2023,173
9/30/2023,173.8
8/31/2023,175.1
7/31/2023,177.5
6/30/2023,181.5
5/31/2023,181.5
4/30/2023,173.3
3/31/2023,173.3
2/28/2023,173.3
1/31/2023,173.3
12/31/2022,172.3
11/30/2022,172.3
10/31/2022,171.9
9/30/2022,172.5
8/31/2022,175.4
7/31/2022,177
6/30/2022,177
5/31/2022,177
4/30/2022,177
3/31/2022,177
2/28/2022,177
1/31/2022,177
12/31/2021,177
11/30/2021,177
10/31/2021,176.5
9/30/2021,176.3
8/31/2021,174.6
7/31/2021,179.5
6/30/2021,179.5
5/31/2021,179.5
4/30/2021,172
3/31/2021,172
2/28/2021,172
1/31/2021,172
12/31/2020,175.8
11/30/2020,175.8
10/31/2020,178.4
9/30/2020,178.5
8/31/2020,181.8
7/31/2020,178.5
6/30/2020,178.5
5/31/2020,178.5
4/30/2020,168
3/31/2020,168
2/29/2020,168
1/31/2020,168
12/31/2019,167
11/30/2019,167
10/31/2019,168.4
9/30/2019,168.2
8/31/2019,169.5
7/31/2019,166
6/30/2019,166
5/31/2019,176
4/30/2019,176.4
3/31/2019,176.4
2/28/2019,176.4
12/31/2018,178.9
11/30/2018,178.9
10/31/2018,180.7
9/30/2018,181.3
8/31/2018,178.4
7/31/2018,174
6/30/2018,174
5/31/2018,174
4/30/2018,176.6
3/31/2018,176.6
2/28/2018,176.6
1/31/2018,176.6
12/31/2017,175.4
11/30/2017,175.4
10/31/2017,171.8
9/30/2017,169.9
8/31/2017,169.5
7/31/2017,170.7
6/30/2017,170.7
5/31/2017,170.7
4/30/2017,174.6
3/31/2017,174.6
2/28/2017,174.6
1/31/2017,174.6
12/31/2016,175.3
11/30/2016,175.3
10/31/2016,173.4
9/30/2016,174.4
8/31/2016,175.1
7/31/2016,168
6/30/2016,168
5/31/2016,168
4/30/2016,168.4
3/31/2016,168.4
2/29/2016,168.4
1/31/2016,168.4
12/31/2015,169.3
