Security,C 1 COMB Comdty,
Start Date,12/9/2020 0:00,
End Date,12/9/2025 0:00,
Period,D,
Currency,USd,
,,
Date,PX_LAST,OPEN_INT
12/9/2025,440.75,#N/A N/A
12/8/2025,436.25,1423
12/5/2025,436.75,2517
12/4/2025,437.75,3395
12/3/2025,431.5,3888
12/2/2025,438,4358
12/1/2025,432.75,5861
11/28/2025,435.5,8066
11/26/2025,431.75,13468
11/25/2025,423.5,77870
11/24/2025,423.75,154559
11/21/2025,425.5,223441
11/20/2025,426.5,308966
11/19/2025,429.75,345372
11/18/2025,436.75,376028
11/17/2025,434.75,393282
11/14/2025,430.25,414388
11/13/2025,441.5,450169
11/12/2025,435.25,483348
11/11/2025,432,505590
11/10/2025,429.75,549705
11/7/2025,427.25,582623
11/6/2025,428.75,609681
11/5/2025,435.25,628029
11/4/2025,431.5,642443
11/3/2025,434.25,653871
10/31/2025,431.5,661306
10/30/2025,430.25,670246
10/29/2025,434,689660
10/28/2025,432,715271
10/27/2025,428.75,733586
10/24/2025,423.25,754980
10/23/2025,428,761344
10/22/2025,423,757156
10/21/2025,419.75,760197
10/20/2025,423.25,767650
10/17/2025,422.5,777668
10/16/2025,421.75,784881
10/15/2025,416.75,789452
10/14/2025,413,801281
10/13/2025,410.75,811077
10/10/2025,413,810959
10/9/2025,418.25,795860
10/8/2025,422,800496
10/7/2025,419.75,793763
10/6/2025,421.75,796524
10/3/2025,419,797271
10/2/2025,421.75,806589
10/1/2025,416.5,800920
9/30/2025,415.5,796993
9/29/2025,421.5,802928
9/26/2025,422,807029
9/25/2025,425.75,823224
9/24/2025,424.25,819886
9/23/2025,426.25,825997
9/22/2025,421.75,823431
9/19/2025,424,834005
9/18/2025,423.75,835078
9/17/2025,426.75,842604
9/16/2025,429.5,840309
9/15/2025,423.25,832723
9/12/2025,399,36
9/11/2025,399,52
9/10/2025,397.25,227
9/9/2025,401.25,265
9/8/2025,403,327
9/5/2025,399,618
9/4/2025,399.75,759
9/3/2025,397.75,1484
9/2/2025,403,2207
9/1/2025,#N/A N/A,3227
8/29/2025,398,3227
8/28/2025,385.5,6606
8/27/2025,382.5,45810
8/26/2025,387.5,80835
8/25/2025,389.25,128240
8/22/2025,388.25,166237
8/21/2025,387.25,224194
8/20/2025,380,241826
8/19/2025,379.5,264679
8/18/2025,383,281768
8/15/2025,383.75,293035
8/14/2025,375,303212
8/13/2025,374,325989
8/12/2025,371.5,358517
8/11/2025,385,408077
8/8/2025,382.75,453518
8/7/2025,384.5,496158
8/6/2025,379.75,527913
8/5/2025,381.5,541509
8/4/2025,387,532079
8/1/2025,389.5,547532
7/31/2025,394,544779
7/30/2025,391.75,550024
7/29/2025,389.25,561408
7/28/2025,393.75,561180
7/25/2025,399.5,572810
7/24/2025,401.75,561416
7/23/2025,398.5,560074
7/22/2025,399.25,553582
7/21/2025,403.75,550384
7/18/2025,408.5,549256
7/17/2025,402,547121
7/16/2025,405.25,550700
7/15/2025,401.25,551764
7/14/2025,412.75,29
7/11/2025,403,98
7/10/2025,407.25,186
7/9/2025,412.5,486
7/8/2025,411,718
7/7/2025,418,997
7/4/2025,#N/A N/A,1382
7/3/2025,431.5,1362
7/2/2025,429.25,2173
7/1/2025,420,3641
6/30/2025,420.5,4795
6/27/2025,417.5,11135
6/26/2025,409.5,61017
6/25/2025,410.25,110852
6/24/2025,416.25,158136
6/23/2025,419.25,199288
6/20/2025,428.75,245013
6/19/2025,#N/A N/A,288074
6/18/2025,433.5,287534
6/17/2025,431.5,322271
6/16/2025,434.75,361355
6/13/2025,444.5,391830
6/12/2025,438.5,420160
6/11/2025,437,456412
6/10/2025,438.75,488572
6/9/2025,433.5,531803
6/6/2025,442.5,568794
6/5/2025,439.5,602011
6/4/2025,438.75,618917
6/3/2025,438.5,631008
6/2/2025,438.25,633846
5/30/2025,444,644804
5/29/2025,447,651774
5/28/2025,451,663834
5/27/2025,459.5,663164
5/23/2025,459.5,669855
5/22/2025,463,669733
5/21/2025,461,676564
5/20/2025,454.5,679970
5/19/2025,447.5,687629
5/16/2025,443.5,682405
5/15/2025,448.5,679315
5/14/2025,438.5,76
5/13/2025,436,110
5/12/2025,440.25,228
5/9/2025,441.5,324
5/8/2025,439,500
5/7/2025,441,725
5/6/2025,447.5,957
5/5/2025,446.5,1201
5/2/2025,461.25,1966
5/1/2025,464.25,3513
4/30/2025,467.25,5076
4/29/2025,460.5,10534
4/28/2025,475.5,55681
4/25/2025,478.75,120641
4/24/2025,477.25,176861
4/23/2025,472,213016
4/22/2025,475.75,240636
4/21/2025,481.75,261497
4/18/2025,#N/A N/A,279832
4/17/2025,482.25,279832
4/16/2025,484.25,293755
4/15/2025,481.25,313243
4/14/2025,485,338513
4/11/2025,490.25,355026
4/10/2025,483,405090
4/9/2025,474,446751
4/8/2025,469,475642
4/7/2025,464.5,515571
4/4/2025,460.25,562971
4/3/2025,457.5,579860
4/2/2025,457.75,601505
4/1/2025,461.75,607630
3/31/2025,457.25,619538
3/28/2025,453.25,623072
3/27/2025,450,646262
3/26/2025,451.25,645623
3/25/2025,457.75,652322
3/24/2025,464.5,650835
3/21/2025,464.25,656332
3/20/2025,469,658785
3/19/2025,462,663462
3/18/2025,458.75,673772
3/17/2025,461,684690
3/14/2025,445.5,68
3/13/2025,453.5,70
3/12/2025,448.75,132
3/11/2025,456.5,297
3/10/2025,458.75,335
3/7/2025,455.25,682
3/6/2025,449.5,885
3/5/2025,440.25,1460
3/4/2025,436,1901
3/3/2025,440.25,2787
2/28/2025,453.5,4482
2/27/2025,464.75,8313
2/26/2025,478.25,46457
2/25/2025,479.75,77419
2/24/2025,482.5,119591
2/21/2025,491.25,166183
2/20/2025,498,265543
2/19/2025,497.5,297547
2/18/2025,502,345971
2/14/2025,496.25,369697
2/13/2025,493.5,384127
2/12/2025,490.25,420862
2/11/2025,484,467202
2/10/2025,491.5,519665
2/7/2025,487.5,553885
2/6/2025,495.25,607712
2/5/2025,493.25,640625
2/4/2025,494.5,654135
2/3/2025,488.75,666145
1/31/2025,482,680248
1/30/2025,490.25,696397
1/29/2025,497,699507
1/28/2025,485.25,688017
1/27/2025,482,693686
1/24/2025,486.5,704672
1/23/2025,489.75,739097
1/22/2025,484.25,730560
1/21/2025,490,731108
1/17/2025,484.25,734986
1/16/2025,474.5,723691
1/15/2025,478.75,722959
1/14/2025,474.5,717966
1/13/2025,476.5,724076
1/10/2025,470.5,725603
1/9/2025,456,696482
1/8/2025,454,706036
1/7/2025,458,718953
1/6/2025,457.75,720713
1/3/2025,450.75,726805
1/2/2025,459.5,743840
12/31/2024,458.5,746247
12/30/2024,452.25,743912
12/27/2024,454,749899
12/26/2024,453.75,765265
12/24/2024,448.5,765553
12/23/2024,447.75,773308
12/20/2024,446.25,773714
12/19/2024,440.75,775208
12/18/2024,437.25,773388
12/17/2024,443.5,778582
12/16/2024,445,789079
12/13/2024,430,43
12/12/2024,431.75,189
12/11/2024,438,319
12/10/2024,440.5,657
12/9/2024,434,1603
12/6/2024,430.75,2669
12/5/2024,426.5,3579
12/4/2024,422,4913
12/3/2024,423.25,6416
12/2/2024,424.5,9402
11/29/2024,423,12409
11/27/2024,415.75,17675
