Security,C 2 COMB Comdty,
Start Date,12/9/2020 0:00,
End Date,12/10/2025 0:00,
Period,D,
Currency,USd,
,,
Date,PX_LAST,PX_VOLUME
12/10/2025,#N/A N/A,0
12/9/2025,448,168071
12/8/2025,443.75,114701
12/5/2025,444.75,112552
12/4/2025,447.25,151430
12/3/2025,443.5,187591
12/2/2025,450,211525
12/1/2025,445,168991
11/28/2025,447.75,87644
11/26/2025,445.25,310045
11/25/2025,438.25,281855
11/24/2025,436.75,259740
11/21/2025,437.5,195235
11/20/2025,437.75,227070
11/19/2025,441.5,178328
11/18/2025,449.5,140864
11/17/2025,448,173671
11/14/2025,444,314292
11/13/2025,455.5,304493
11/12/2025,449.25,215669
11/11/2025,447,165446
11/10/2025,444.5,149131
11/7/2025,442,114033
11/6/2025,443,122797
11/5/2025,449.5,115841
11/4/2025,444.75,114456
11/3/2025,446.75,109257
10/31/2025,444,127060
10/30/2025,443.75,158864
10/29/2025,446.75,157844
10/28/2025,446,215857
10/27/2025,444.25,145056
10/24/2025,437,104489
10/23/2025,441.25,101270
10/22/2025,435.75,80548
10/21/2025,433.75,71473
10/20/2025,437,69823
10/17/2025,436.5,84956
10/16/2025,435.5,150002
10/15/2025,432.25,77812
10/14/2025,429.25,84369
10/13/2025,427.25,73056
10/10/2025,429,83936
10/9/2025,434,111236
10/8/2025,437.75,78418
10/7/2025,436.25,112486
10/6/2025,438.25,42733
10/3/2025,435.75,71210
10/2/2025,438,64088
10/1/2025,432.75,98996
9/30/2025,432,93763
9/29/2025,438.5,38562
9/26/2025,438.75,39744
9/25/2025,442.25,49216
9/24/2025,441,36114
9/23/2025,443,45199
9/22/2025,438.75,57003
9/19/2025,441.25,50971
9/18/2025,441.5,34380
9/17/2025,444.5,54777
9/16/2025,447,48310
9/15/2025,441,47758
9/12/2025,430,363844
9/11/2025,419.75,138704
9/10/2025,417,98507
9/9/2025,419.75,116928
9/8/2025,421.75,133439
9/5/2025,418,166147
9/4/2025,419.75,153762
9/3/2025,418,187053
9/2/2025,423,246406
8/29/2025,420.25,277558
8/28/2025,410,208709
8/27/2025,406,204078
8/26/2025,409.5,266957
8/25/2025,412.25,195064
8/22/2025,411.5,180162
8/21/2025,411.75,256769
8/20/2025,404,143806
8/19/2025,403.25,141707
8/18/2025,406.5,167859
8/15/2025,405.25,202741
8/14/2025,397.25,186631
8/13/2025,397.25,249115
8/12/2025,394.5,418565
8/11/2025,407.75,222153
8/8/2025,405.5,218129
8/7/2025,407,209898
8/6/2025,401.25,188249
8/5/2025,402,205896
8/4/2025,407,165950
8/1/2025,410.75,137743
7/31/2025,413.75,167472
7/30/2025,412.25,148306
7/29/2025,411,209242
7/28/2025,414,160905
7/25/2025,419,92307
7/24/2025,420.75,119505
7/23/2025,417.5,95249
7/22/2025,418,121714
7/21/2025,422.25,137079
7/18/2025,427.75,156897
7/17/2025,421,122209
7/16/2025,424,186715
7/15/2025,419.75,210298
7/14/2025,400,185262
7/11/2025,396,145838
7/10/2025,399.25,132798
7/9/2025,399.25,177946
7/8/2025,398,199608
7/7/2025,403.5,163226
7/3/2025,420.25,153367
7/2/2025,418,165858
7/1/2025,406,147773
6/30/2025,409.25,161235
6/27/2025,411.5,189078
6/26/2025,404,205559
6/25/2025,405,192101
6/24/2025,412.25,185361
6/23/2025,417.5,165835
6/20/2025,425.5,125508
6/18/2025,429,154947
6/17/2025,423.75,151154
6/16/2025,419.75,106249
6/13/2025,428.5,104075
6/12/2025,426.25,130969
6/11/2025,425.25,126178
6/10/2025,425.5,165595
6/9/2025,422.25,158917
6/6/2025,433.25,154725
6/5/2025,431.5,127453
6/4/2025,428,108753
6/3/2025,423.5,91583
6/2/2025,420.75,87669
5/30/2025,423.25,78834
5/29/2025,427.25,52939
5/28/2025,429.75,91024
5/27/2025,433.75,53721
5/23/2025,437.75,70787
5/22/2025,441,71803
5/21/2025,442.75,79331
5/20/2025,435.25,89154
5/19/2025,428.25,71629
5/16/2025,421.5,87124
5/15/2025,425,78515
5/14/2025,445.5,177064
5/13/2025,442.5,241737
5/12/2025,448,249867
5/9/2025,449.75,179566
5/8/2025,447.5,256171
5/7/2025,449.25,248109
5/6/2025,455.5,218024
5/5/2025,454.25,270570
5/2/2025,469,163656
5/1/2025,472.25,163168
4/30/2025,475.5,196430
4/29/2025,470.25,318620
4/28/2025,483.25,281192
4/25/2025,485.5,172391
4/24/2025,484,183145
4/23/2025,479.25,165328
4/22/2025,483.25,162010
4/21/2025,490,132427
4/17/2025,490.25,115218
4/16/2025,491.75,142357
4/15/2025,489.5,189549
4/14/2025,492.75,188941
4/11/2025,497,275411
4/10/2025,488.75,333680
4/9/2025,480.5,200946
4/8/2025,474.75,206915
4/7/2025,470.75,140908
4/4/2025,467.25,126896
4/3/2025,465.5,139283
4/2/2025,465.25,107473
4/1/2025,468.25,126856
3/31/2025,463.25,216324
3/28/2025,460,163002
3/27/2025,458,126025
3/26/2025,459,84966
3/25/2025,465.25,96901
3/24/2025,472,67046
3/21/2025,471.5,108350
3/20/2025,475.5,133221
3/19/2025,469.25,98580
3/18/2025,468,94661
3/17/2025,470,98696
3/14/2025,458.5,242039
3/13/2025,465.25,189221
3/12/2025,460.75,231919
3/11/2025,470.25,189880
3/10/2025,472,158427
3/7/2025,469.25,170217
3/6/2025,464,313858
3/5/2025,455.75,277827
3/4/2025,451.5,391274
3/3/2025,456.25,353207
2/28/2025,469.5,268768
2/27/2025,481,323813
2/26/2025,493.5,221417
2/25/2025,494.25,233372
2/24/2025,497,280980
2/21/2025,505,225966
2/20/2025,512.75,167194
2/19/2025,512.25,185421
2/18/2025,515.75,173575
2/14/2025,508.75,160764
2/13/2025,506,211061
2/12/2025,504,190528
2/11/2025,498,222792
2/10/2025,504.5,173332
2/7/2025,500.5,197726
2/6/2025,507.5,203499
2/5/2025,504.75,126818
2/4/2025,504.75,167842
2/3/2025,499.75,158846
1/31/2025,493,151879
1/30/2025,501.5,102614
1/29/2025,507.5,129134
1/28/2025,496,98934
1/27/2025,492.25,83981
1/24/2025,496.5,97323
1/23/2025,499.25,118837
1/22/2025,494,116651
1/21/2025,499.75,124155
1/17/2025,493,157985
1/16/2025,483,86161
1/15/2025,488,99883
1/14/2025,484.75,131176
1/13/2025,486.75,183530
1/10/2025,479.5,209013
1/9/2025,464.5,66201
1/8/2025,462.5,87037
1/7/2025,465.75,67746
1/6/2025,465.25,74520
1/3/2025,458.25,45256
1/2/2025,467.25,55292
12/31/2024,465.75,53677
12/30/2024,460,71065
12/27/2024,461.5,53865
12/26/2024,460.5,48769
12/24/2024,455,42256
12/23/2024,453.5,38337
12/20/2024,451.75,47534
12/19/2024,446.25,54082
12/18/2024,443.75,44396
12/17/2024,450,51033
12/16/2024,451.75,42915
12/13/2024,442,170867
12/12/2024,443.5,224320
12/11/2024,448.25,265284
12/10/2024,449,296082
12/9/2024,441.75,228237
12/6/2024,440,216789
12/5/2024,435,164265
12/4/2024,430,138433
12/3/2024,432.25,150614
12/2/2024,432.5,173212
11/29/2024,433,124100
11/27/2024,428,264979
11/26/2024,428,323713
11/25/2024,433,271395
11/22/2024,435.25,175792
11/21/2024,436.25,184039
11/20/2024,440,184194
11/19/2024,437.75,165885
11/18/2024,439.75,149251
11/15/2024,435.25,149876
11/14/2024,430.75,190127
11/13/2024,437.5,172933
11/12/2024,440.25,170400
11/11/2024,442.75,168405
11/8/2024,444.25,222605
11/7/2024,440.5,186635
11/6/2024,439,124895
11/5/2024,432,80448
11/4/2024,430,112143
11/1/2024,429.25,105048
10/31/2024,426,151615
10/30/2024,425.5,85342
10/29/2024,427,101919
10/28/2024,424.75,151513
10/25/2024,429.5,135638
10/24/2024,435,145630
10/23/2024,432,121702
10/22/2024,429.25,124172
10/21/2024,423.25,100157
10/18/2024,419,90708
10/17/2024,421.25,123123
10/16/2024,420.5,97243
10/15/2024,417.5,156923
10/14/2024,424.75,127701
