Security,S 2 COMB Comdty,
Start Date,12/9/2020 0:00,
End Date,12/10/2025 0:00,
Period,D,
Currency,USd,
,,
Date,PX_LAST,OPEN_INT
12/10/2025,1095.25,#N/A N/A
12/9/2025,1098.25,#N/A N/A
12/8/2025,1105.75,276326
12/5/2025,1116,273635
12/4/2025,1128.75,272604
12/3/2025,1125.5,268406
12/2/2025,1135,260833
12/1/2025,1138,255573
11/28/2025,1146,253194
11/26/2025,1140.75,251286
11/25/2025,1134.75,247142
11/24/2025,1132,244990
11/21/2025,1134.25,247527
11/20/2025,1132,245863
11/19/2025,1144.5,245451
11/18/2025,1160.25,241473
11/17/2025,1163.25,244276
11/14/2025,1124.5,389564
11/13/2025,1147,384535
11/12/2025,1133.75,378373
11/11/2025,1127.25,374992
11/10/2025,1130,378102
11/7/2025,1117,373775
11/6/2025,1107.5,372289
11/5/2025,1134.25,384338
11/4/2025,1121.5,374679
11/3/2025,1134.25,373949
10/31/2025,1115.25,371294
10/30/2025,1107.75,368981
10/29/2025,1094.5,367736
10/28/2025,1095.25,371683
10/27/2025,1085,368805
10/24/2025,1060.25,349007
10/23/2025,1062,335571
10/22/2025,1050,324972
10/21/2025,1048.5,310181
10/20/2025,1050,307444
10/17/2025,1036.75,286787
10/16/2025,1028.5,280216
10/15/2025,1024.25,267710
10/14/2025,1024.25,264793
10/13/2025,1025.25,259577
10/10/2025,1023.25,259577
10/9/2025,1038.5,240577
10/8/2025,1044.25,219271
10/7/2025,1039,204675
10/6/2025,1035.75,197097
10/3/2025,1037,192039
10/2/2025,1041.75,190634
10/1/2025,1031,185507
9/30/2025,1020.25,179391
9/29/2025,1029.75,182936
9/26/2025,1033,179388
9/25/2025,1031.25,174785
9/24/2025,1028.5,172028
9/23/2025,1031.75,169089
9/22/2025,1030.5,168326
9/19/2025,1044.75,169427
9/18/2025,1056.5,168849
9/17/2025,1063,168361
9/16/2025,1069.25,166712
9/15/2025,1061.75,165872
9/12/2025,1046.25,401087
9/11/2025,1033.5,405446
9/10/2025,1025.25,403638
9/9/2025,1031.25,399041
9/8/2025,1033.75,401077
9/5/2025,1027,401796
9/4/2025,1033,398440
9/3/2025,1031.5,403873
9/2/2025,1041,406717
9/1/2025,#N/A N/A,410011
8/29/2025,1054.5,409717
8/28/2025,1048,408609
8/27/2025,1047.5,409616
8/26/2025,1049.5,405398
8/25/2025,1047.75,399670
8/22/2025,1058.5,406803
8/21/2025,1056,414499
8/20/2025,1036,416266
8/19/2025,1033.75,421101
8/18/2025,1041.25,418554
8/15/2025,1042.5,417695
8/14/2025,1007.5,65625
8/13/2025,1024,68756
8/12/2025,1012.75,71049
8/11/2025,991.75,73562
8/8/2025,967.75,75277
8/7/2025,974,76745
8/6/2025,965.5,75139
8/5/2025,971.5,75649
8/4/2025,975.25,78118
8/1/2025,969.5,80692
7/31/2025,969.5,81895
7/30/2025,975.75,81228
7/29/2025,989.5,78155
7/28/2025,992.5,79292
7/25/2025,1002,80662
7/24/2025,1005.75,85982
7/23/2025,1005,85716
7/22/2025,1008,83826
7/21/2025,1010.5,80493
7/18/2025,1021,79780
7/17/2025,1012,79770
7/16/2025,1005.75,80934
7/15/2025,987.25,81604
7/14/2025,1001,102460
7/11/2025,1004.25,106713
7/10/2025,1012.5,106382
7/9/2025,1009,105651
7/8/2025,1021.25,103479
7/7/2025,1031.5,108579
7/4/2025,#N/A N/A,106201
7/3/2025,1055.5,106049
7/2/2025,1053.5,111074
7/1/2025,1029.75,111314
6/30/2025,1029.75,110137
6/27/2025,1033.25,108287
6/26/2025,1027.75,102204
6/25/2025,1029.5,96132
6/24/2025,1050.25,81153
6/23/2025,1062,77426
6/20/2025,1071.5,77431
6/19/2025,#N/A N/A,72152
6/18/2025,1076.75,72152
6/17/2025,1076.25,71794
6/16/2025,1071.75,73065
6/13/2025,1069,69753
6/12/2025,1041,64364
6/11/2025,1045.5,67572
6/10/2025,1049.5,68270
6/9/2025,1047.75,64960
6/6/2025,1050.75,62599
6/5/2025,1046.5,63537
6/4/2025,1038.75,61272
6/3/2025,1034.25,58750
6/2/2025,1027.25,56355
5/30/2025,1036.75,56001
5/29/2025,1048.5,55451
5/28/2025,1045.25,55130
5/27/2025,1058,54307
5/23/2025,1056,53420
5/22/2025,1062.5,52386
5/21/2025,1059,50067
5/20/2025,1050.25,50919
5/19/2025,1047.75,50088
5/16/2025,1046.25,49337
5/15/2025,1047.25,48887
5/14/2025,1077.75,365783
5/13/2025,1072.5,363627
5/12/2025,1071.25,376409
5/9/2025,1051.75,373540
5/8/2025,1045,374511
5/7/2025,1039.25,375682
5/6/2025,1041.25,369894
5/5/2025,1045.5,368627
5/2/2025,1058,370325
5/1/2025,1050.25,364666
4/30/2025,1044.5,364121
4/29/2025,1052.75,370057
4/28/2025,1062.5,374663
4/25/2025,1059.25,370971
4/24/2025,1062,365164
4/23/2025,1050.25,353781
4/22/2025,1046,342898
4/21/2025,1041.5,334956
4/18/2025,#N/A N/A,324520
4/17/2025,1047.75,324520
4/16/2025,1050.25,320305
4/15/2025,1046.5,310277
4/14/2025,1050.25,306226
4/11/2025,1053,308778
4/10/2025,1036.75,295151
4/9/2025,1023.5,291016
4/8/2025,1004,279409
4/7/2025,997,269875
4/4/2025,993,257049
4/3/2025,1026.25,246781
4/2/2025,1045,246849
4/1/2025,1049.25,238916
3/31/2025,1028.25,239982
3/28/2025,1037.25,224705
3/27/2025,1030.5,218460
3/26/2025,1015,216979
3/25/2025,1015.5,214981
3/24/2025,1019.5,216538
3/21/2025,1021.5,215145
3/20/2025,1025.25,214705
3/19/2025,1021.5,210634
3/18/2025,1026.5,205692
3/17/2025,1029.25,203350
3/14/2025,1016,374281
3/13/2025,1010.75,375934
3/12/2025,1000.5,378950
3/11/2025,1011.25,376884
3/10/2025,1014,380057
3/7/2025,1025,378303
3/6/2025,1027.25,382968
3/5/2025,1011.75,388425
3/4/2025,999,389016
3/3/2025,1011.5,389146
2/28/2025,1025.75,385864
2/27/2025,1037.25,375245
2/26/2025,1041.25,373502
2/25/2025,1048.75,376565
2/24/2025,1047.5,375003
2/21/2025,1057.25,364010
2/20/2025,1063,359337
2/19/2025,1048.25,351925
2/18/2025,1055.5,343112
2/14/2025,1052.75,331615
2/13/2025,1047,321929
2/12/2025,1045.75,308733
2/11/2025,1060.25,296824
2/10/2025,1065.5,281063
2/7/2025,1065.5,267123
2/6/2025,1075.75,253362
2/5/2025,1072.25,243582
2/4/2025,1088,238106
2/3/2025,1072.75,236066
1/31/2025,1057.5,230305
1/30/2025,1059.75,229572
1/29/2025,1075.25,225524
1/28/2025,1059.5,218726
1/27/2025,1058.5,214492
1/24/2025,1068.25,215375
1/23/2025,1077.75,212043
1/22/2025,1068.25,209225
1/21/2025,1077.75,204442
1/17/2025,1044.75,203799
1/16/2025,1031.5,199617
1/15/2025,1055.25,195635
1/14/2025,1047.5,366315
1/13/2025,1053,379065
1/10/2025,1025.25,381090
1/9/2025,999,383120
1/8/2025,994.5,381681
1/7/2025,997.25,383887
1/6/2025,997.75,391955
1/3/2025,991.75,394812
1/2/2025,1012,399449
12/31/2024,1010.5,406116
12/30/2024,991.75,408169
12/27/2024,989.75,409662
12/26/2024,997.25,403341
12/24/2024,981.25,396958
12/23/2024,975.5,401541
12/20/2024,979.25,396706
12/19/2024,966.5,394742
12/18/2024,953.25,391442
12/17/2024,978.75,381383
12/16/2024,986,366915
12/13/2024,995,355760
12/12/2024,1003.25,345404
12/11/2024,1002.75,325247
12/10/2024,1000.25,308011
12/9/2024,995.5,293995
12/6/2024,999.25,290147
12/5/2024,999,277219
12/4/2024,989.75,274609
12/3/2024,997.25,268973
12/2/2024,991,262014
11/29/2024,996,257258
11/27/2024,997,256919
11/26/2024,994,254060
11/25/2024,994.25,250126
11/22/2024,992.25,247300
11/21/2024,985.25,245544
11/20/2024,999.25,245111
11/19/2024,1008.5,243227
11/18/2024,1019,240923
