Security,W 1 COMB Comdty,
Start Date,12/9/2020 0:00,
End Date,12/9/2025 0:00,
Period,D,
Currency,USd,
,,
Date,PX_LAST,PX_BID
12/9/2025,536.25,515.25
12/8/2025,536,515.25
12/5/2025,537.5,515.25
12/4/2025,541,539
12/3/2025,537.75,515.25
12/2/2025,537.75,545
12/1/2025,530.25,515.25
11/28/2025,531,519.5
11/26/2025,529,522
11/25/2025,527.25,522
11/24/2025,522.25,522.5
11/21/2025,527,529.5
11/20/2025,527,527.75
11/19/2025,536.75,537
11/18/2025,546.5,546.5
11/17/2025,544.25,544.75
11/14/2025,527.25,526.5
11/13/2025,535.75,535.25
11/12/2025,536,536.5
11/11/2025,536,536
11/10/2025,535.75,535.75
11/7/2025,527.75,527
11/6/2025,535.5,535.75
11/5/2025,554.75,554
11/4/2025,550.25,550
11/3/2025,543.5,544.5
10/31/2025,534,533.25
10/30/2025,524.25,524.5
10/29/2025,532.25,533.25
10/28/2025,529,530
10/27/2025,526,525.5
10/24/2025,512.5,512.75
10/23/2025,513,513
10/22/2025,503.75,504
10/21/2025,500.25,500.25
10/20/2025,504.75,505.25
10/17/2025,503.75,504
10/16/2025,502.5,502.25
10/15/2025,498.75,498.5
10/14/2025,500.25,500.25
10/13/2025,496.75,496.5
10/10/2025,498.5,498.5
10/9/2025,506.5,507.75
10/8/2025,507.25,507.25
10/7/2025,506.75,506
10/6/2025,512.75,512.5
10/3/2025,515.25,514.75
10/2/2025,514.75,514.25
10/1/2025,509.25,510
9/30/2025,508,507.5
9/29/2025,519.5,519
9/26/2025,519.75,519
9/25/2025,527,526
9/24/2025,519.5,519.75
9/23/2025,520.5,520.75
9/22/2025,510.75,510.5
9/19/2025,522.5,522.25
9/18/2025,524.25,524.75
9/17/2025,528.25,529
9/16/2025,534,533.5
9/15/2025,525,525.25
9/12/2025,503,#N/A N/A
9/11/2025,503,#N/A N/A
9/10/2025,495,#N/A N/A
9/9/2025,500.75,#N/A N/A
9/8/2025,505.5,#N/A N/A
9/5/2025,501,#N/A N/A
9/4/2025,502.25,#N/A N/A
9/3/2025,504,#N/A N/A
9/2/2025,513,#N/A N/A
8/29/2025,518,#N/A N/A
8/28/2025,510.25,508
8/27/2025,502.25,495
8/26/2025,509.5,509
8/25/2025,506.75,506.75
8/22/2025,504.75,504.75
8/21/2025,507,507
8/20/2025,505.5,506.25
8/19/2025,498.5,498.25
8/18/2025,502.75,502.5
8/15/2025,506.5,506.5
8/14/2025,503.5,504
8/13/2025,507.25,507
8/12/2025,505,504.5
8/11/2025,515,514.5
8/8/2025,514.5,515.25
8/7/2025,518.25,518
8/6/2025,508.5,508.25
8/5/2025,508.25,508
8/4/2025,516.75,516.25
8/1/2025,516.75,516.5
7/31/2025,523.25,523.75
7/30/2025,523.75,523.25
7/29/2025,529.75,529.25
7/28/2025,538.5,538.25
7/25/2025,538.25,539
7/24/2025,541.5,541.5
7/23/2025,540.5,541
7/22/2025,549.5,549.25
7/21/2025,542.25,542
7/18/2025,546.25,546.5
7/17/2025,533.5,533.5
7/16/2025,541.25,541.75
7/15/2025,538,538.25
7/14/2025,534,#N/A N/A
7/11/2025,540.75,#N/A N/A
7/10/2025,550.25,#N/A N/A
7/9/2025,542.75,#N/A N/A
7/8/2025,543,523
7/7/2025,539.75,523
7/3/2025,547.75,523
7/2/2025,556,523
7/1/2025,537.25,523
6/30/2025,528.75,523
6/27/2025,524.75,518
6/26/2025,521,521
6/25/2025,528.25,527.75
6/24/2025,535.75,535.25
6/23/2025,552.75,553
6/20/2025,567.75,567
6/18/2025,574.25,573
6/17/2025,549,548.75
6/16/2025,536.5,536.75
6/13/2025,543.75,542.75
6/12/2025,526.5,526.5
6/11/2025,534.25,533.75
6/10/2025,534.5,535.25
6/9/2025,542,541
6/6/2025,554.75,555.5
6/5/2025,545.5,544.75
6/4/2025,543.25,543.5
6/3/2025,536,535.75
6/2/2025,539,538
5/30/2025,534,533
5/29/2025,534,534.25
5/28/2025,530.25,530.5
5/27/2025,528.5,528.75
5/23/2025,542.5,543.25
5/22/2025,544.5,545
5/21/2025,549.25,547.75
5/20/2025,546,547
5/19/2025,529,529.5
5/16/2025,525,524.75
5/15/2025,532.75,532.75
5/14/2025,508.75,#N/A N/A
5/13/2025,501.5,#N/A N/A
5/12/2025,499,#N/A N/A
5/9/2025,505.5,#N/A N/A
5/8/2025,513,#N/A N/A
5/7/2025,518,#N/A N/A
5/6/2025,519,#N/A N/A
5/5/2025,514.25,#N/A N/A
5/2/2025,526.5,#N/A N/A
5/1/2025,515.25,#N/A N/A
4/30/2025,513,#N/A N/A
4/29/2025,505.75,515
4/28/2025,515.5,510
4/25/2025,530,529.75
4/24/2025,529.25,529
4/23/2025,528.25,528
4/22/2025,535.5,534.5
4/21/2025,538.5,538.75
4/17/2025,548.75,548.5
4/16/2025,547.75,547.5
4/15/2025,542,542
4/14/2025,547.5,546.75
4/11/2025,555.75,555
4/10/2025,538,537.5
4/9/2025,542.25,542.25
4/8/2025,540,539.75
4/7/2025,536.5,536.5
4/4/2025,529,529.75
4/3/2025,536,537
4/2/2025,539.25,537.75
4/1/2025,540.5,540
3/31/2025,537,537.5
3/28/2025,528.25,528.5
3/27/2025,532,531.5
3/26/2025,535.25,535.5
3/25/2025,543.25,543.75
3/24/2025,548.25,547.5
3/21/2025,558.25,558
3/20/2025,557.25,556.5
3/19/2025,563.5,563.75
3/18/2025,565,564
3/17/2025,568.5,568.5
3/14/2025,545.75,#N/A N/A
3/13/2025,547.25,#N/A N/A
3/12/2025,538.75,#N/A N/A
3/11/2025,541,#N/A N/A
3/10/2025,545.25,#N/A N/A
3/7/2025,533.75,#N/A N/A
3/6/2025,537,#N/A N/A
3/5/2025,530.75,#N/A N/A
3/4/2025,518.5,#N/A N/A
3/3/2025,532,515
2/28/2025,537,527
2/27/2025,546.75,545
2/26/2025,566,562
2/25/2025,572.75,574
2/24/2025,579,579
2/21/2025,590,590
2/20/2025,585.5,585.25
2/19/2025,592,592
2/18/2025,604.75,606
2/14/2025,600,601.5
2/13/2025,577.75,577.25
2/12/2025,574.25,574.25
2/11/2025,577,576.75
2/10/2025,579.5,579
2/7/2025,582.75,582
2/6/2025,587.75,587.75
2/5/2025,572.25,571.5
2/4/2025,577,577.5
2/3/2025,566.75,566.5
1/31/2025,559.5,560.25
1/30/2025,566.5,566
1/29/2025,562.5,561
1/28/2025,545.25,544.75
1/27/2025,535.5,536
1/24/2025,544,544
1/23/2025,554,554.75
1/22/2025,554,553.75
1/21/2025,558.75,558.5
1/17/2025,538.75,539
1/16/2025,537.5,537.5
1/15/2025,547,547
1/14/2025,546.25,546.75
1/13/2025,545,545.75
1/10/2025,530.75,529.75
1/9/2025,534,532.75
1/8/2025,536.25,535.25
1/7/2025,542.5,543
1/6/2025,540.5,540
1/3/2025,529.25,528.5
1/2/2025,545.75,545.5
12/31/2024,551.5,551.25
12/30/2024,548.25,548.25
12/27/2024,546.5,547.25
12/26/2024,541,541.5
12/24/2024,534.75,535
12/23/2024,540.5,540.25
12/20/2024,533,532.5
12/19/2024,533,532.25
12/18/2024,541.25,541.25
12/17/2024,545,545
12/16/2024,550,550
