Security,W 1 COMB Comdty,
Start Date,12/9/2020 0:00,
End Date,12/9/2025 0:00,
Period,D,
Currency,USd,
,,
Date,PX_LAST,OPEN_INT
12/9/2025,536.25,#N/A N/A
12/8/2025,536,87
12/5/2025,537.5,111
12/4/2025,541,163
12/3/2025,537.75,230
12/2/2025,537.75,347
12/1/2025,530.25,507
11/28/2025,531,833
11/26/2025,529,1970
11/25/2025,527.25,12283
11/24/2025,522.25,26125
11/21/2025,527,35835
11/20/2025,527,48750
11/19/2025,536.75,56561
11/18/2025,546.5,63918
11/17/2025,544.25,68853
11/14/2025,527.25,82898
11/13/2025,535.75,94946
11/12/2025,536,113915
11/11/2025,536,136859
11/10/2025,535.75,157297
11/7/2025,527.75,177651
11/6/2025,535.5,207142
11/5/2025,554.75,228459
11/4/2025,550.25,231542
11/3/2025,543.5,242607
10/31/2025,534,248611
10/30/2025,524.25,242677
10/29/2025,532.25,249085
10/28/2025,529,255883
10/27/2025,526,260335
10/24/2025,512.5,265319
10/23/2025,513,275212
10/22/2025,503.75,279056
10/21/2025,500.25,280780
10/20/2025,504.75,280551
10/17/2025,503.75,282130
10/16/2025,502.5,286602
10/15/2025,498.75,286928
10/14/2025,500.25,290186
10/13/2025,496.75,291732
10/10/2025,498.5,291742
10/9/2025,506.5,280146
10/8/2025,507.25,273410
10/7/2025,506.75,271082
10/6/2025,512.75,269157
10/3/2025,515.25,267135
10/2/2025,514.75,269379
10/1/2025,509.25,270513
9/30/2025,508,263468
9/29/2025,519.5,255975
9/26/2025,519.75,255495
9/25/2025,527,258479
9/24/2025,519.5,260133
9/23/2025,520.5,263906
9/22/2025,510.75,268061
9/19/2025,522.5,263467
9/18/2025,524.25,261175
9/17/2025,528.25,259689
9/16/2025,534,261260
9/15/2025,525,262986
9/12/2025,503,#N/A N/A
9/11/2025,503,1
9/10/2025,495,22
9/9/2025,500.75,30
9/8/2025,505.5,64
9/5/2025,501,65
9/4/2025,502.25,83
9/3/2025,504,178
9/2/2025,513,456
9/1/2025,#N/A N/A,744
8/29/2025,518,744
8/28/2025,510.25,1824
8/27/2025,502.25,15921
8/26/2025,509.5,29253
8/25/2025,506.75,42143
8/22/2025,504.75,56329
8/21/2025,507,73575
8/20/2025,505.5,84885
8/19/2025,498.5,96368
8/18/2025,502.75,107306
8/15/2025,506.5,114453
8/14/2025,503.5,127113
8/13/2025,507.25,145120
8/12/2025,505,166535
8/11/2025,515,186967
8/8/2025,514.5,206094
8/7/2025,518.25,222519
8/6/2025,508.5,236167
8/5/2025,508.25,235473
8/4/2025,516.75,236965
8/1/2025,516.75,230952
7/31/2025,523.25,227936
7/30/2025,523.75,224963
7/29/2025,529.75,222545
7/28/2025,538.5,218511
7/25/2025,538.25,218515
7/24/2025,541.5,221395
7/23/2025,540.5,219790
7/22/2025,549.5,220990
7/21/2025,542.25,220563
7/18/2025,546.25,221048
7/17/2025,533.5,223797
7/16/2025,541.25,217149
7/15/2025,538,217062
7/14/2025,534,5
7/11/2025,540.75,35
7/10/2025,550.25,80
7/9/2025,542.75,54
7/8/2025,543,90
7/7/2025,539.75,91
7/4/2025,#N/A N/A,133
7/3/2025,547.75,133
7/2/2025,556,184
7/1/2025,537.25,227
6/30/2025,528.75,814
6/27/2025,524.75,2341
6/26/2025,521,11818
6/25/2025,528.25,23730
6/24/2025,535.75,30337
6/23/2025,552.75,41434
6/20/2025,567.75,53158
6/19/2025,#N/A N/A,73110
6/18/2025,574.25,73239
6/17/2025,549,89337
6/16/2025,536.5,103348
6/13/2025,543.75,119971
6/12/2025,526.5,136824
6/11/2025,534.25,159195
6/10/2025,534.5,176293
6/9/2025,542,195088
6/6/2025,554.75,211549
6/5/2025,545.5,227307
6/4/2025,543.25,233068
6/3/2025,536,237941
6/2/2025,539,243282
5/30/2025,534,246992
5/29/2025,534,254050
5/28/2025,530.25,254429
5/27/2025,528.5,255442
5/23/2025,542.5,250386
5/22/2025,544.5,246218
5/21/2025,549.25,250752
5/20/2025,546,260410
5/19/2025,529,264307
5/16/2025,525,265837
5/15/2025,532.75,267352
5/14/2025,508.75,28
5/13/2025,501.5,19
5/12/2025,499,33
5/9/2025,505.5,34
5/8/2025,513,43
5/7/2025,518,71
5/6/2025,519,256
5/5/2025,514.25,256
5/2/2025,526.5,266
5/1/2025,515.25,475
4/30/2025,513,714
4/29/2025,505.75,1290
4/28/2025,515.5,13325
4/25/2025,530,28540
4/24/2025,529.25,46229
4/23/2025,528.25,53002
4/22/2025,535.5,61349
4/21/2025,538.5,70010
4/18/2025,#N/A N/A,73686
4/17/2025,548.75,73686
4/16/2025,547.75,82490
4/15/2025,542,95951
4/14/2025,547.5,110172
4/11/2025,555.75,120298
4/10/2025,538,157869
4/9/2025,542.25,171164
4/8/2025,540,187768
4/7/2025,536.5,204221
4/4/2025,529,218016
4/3/2025,536,219525
4/2/2025,539.25,221267
4/1/2025,540.5,223854
3/31/2025,537,229178
3/28/2025,528.25,231340
3/27/2025,532,229564
3/26/2025,535.25,223652
3/25/2025,543.25,222807
3/24/2025,548.25,224088
3/21/2025,558.25,222236
3/20/2025,557.25,221866
3/19/2025,563.5,219416
3/18/2025,565,220071
3/17/2025,568.5,219794
3/14/2025,545.75,9
3/13/2025,547.25,5
3/12/2025,538.75,41
3/11/2025,541,54
3/10/2025,545.25,65
3/7/2025,533.75,76
3/6/2025,537,74
3/5/2025,530.75,73
3/4/2025,518.5,76
3/3/2025,532,134
2/28/2025,537,386
2/27/2025,546.75,820
2/26/2025,566,6999
2/25/2025,572.75,17009
2/24/2025,579,28463
2/21/2025,590,39324
2/20/2025,585.5,63920
2/19/2025,592,70652
2/18/2025,604.75,86381
2/14/2025,600,99753
2/13/2025,577.75,108034
2/12/2025,574.25,119171
2/11/2025,577,137730
2/10/2025,579.5,158642
2/7/2025,582.75,175183
2/6/2025,587.75,195288
2/5/2025,572.25,201489
2/4/2025,577,210139
2/3/2025,566.75,214985
1/31/2025,559.5,218546
1/30/2025,566.5,227294
1/29/2025,562.5,231954
1/28/2025,545.25,241179
1/27/2025,535.5,245699
1/24/2025,544,237695
1/23/2025,554,231628
1/22/2025,554,232880
1/21/2025,558.75,235904
1/17/2025,538.75,241202
1/16/2025,537.5,239459
1/15/2025,547,242045
1/14/2025,546.25,246599
1/13/2025,545,255376
1/10/2025,530.75,260936
1/9/2025,534,260592
1/8/2025,536.25,258542
1/7/2025,542.5,258125
1/6/2025,540.5,260153
1/3/2025,529.25,266751
1/2/2025,545.75,260031
12/31/2024,551.5,258357
12/30/2024,548.25,260525
12/27/2024,546.5,264107
12/26/2024,541,265798
12/24/2024,534.75,265115
12/23/2024,540.5,262711
12/20/2024,533,266944
12/19/2024,533,268437
12/18/2024,541.25,259120
12/17/2024,545,259005
12/16/2024,550,250282
12/13/2024,526.5,13
12/12/2024,538.75,17
12/11/2024,543.5,21
12/10/2024,542,19
12/9/2024,541.25,42
12/6/2024,542.5,46
12/5/2024,546.75,56
12/4/2024,538,73
12/3/2024,536.75,91
12/2/2024,537.5,107
11/29/2024,532.25,158
11/27/2024,537.75,1178
11/26/2024,539.5,12784
11/25/2024,535.75,26600
11/22/2024,544.25,45883
11/21/2024,548.75,63843
