Security,W 2 COMB Comdty,
Start Date,12/9/2020 0:00,
End Date,12/10/2025 0:00,
Period,D,
Currency,USd,
,,
Date,PX_LAST,PX_VOLUME
12/10/2025,533.75,555
12/9/2025,534.5,52441
12/8/2025,534.75,49765
12/5/2025,535.75,48904
12/4/2025,540.25,57135
12/3/2025,538.25,46731
12/2/2025,541,75307
12/1/2025,535,61051
11/28/2025,538.5,23906
11/26/2025,540.5,72214
11/25/2025,539.25,69580
11/24/2025,534.75,61424
11/21/2025,539.75,69724
11/20/2025,540.75,76650
11/19/2025,549.5,68039
11/18/2025,559,75638
11/17/2025,558.5,91649
11/14/2025,541.5,102731
11/13/2025,552.25,101004
11/12/2025,552.5,92000
11/11/2025,551.75,80517
11/10/2025,550.5,80841
11/7/2025,542.25,86715
11/6/2025,549.75,85057
11/5/2025,568,45088
11/4/2025,562.75,73804
11/3/2025,557.5,86137
10/31/2025,548.5,77099
10/30/2025,540.5,58572
10/29/2025,547.75,69179
10/28/2025,545.75,56805
10/27/2025,542,44840
10/24/2025,528,28824
10/23/2025,528.25,25716
10/22/2025,519.5,20356
10/21/2025,516.5,18277
10/20/2025,521.5,16715
10/17/2025,520.25,19043
10/16/2025,518.75,25524
10/15/2025,515.75,30379
10/14/2025,516.75,29365
10/13/2025,513.25,25984
10/10/2025,515.25,23378
10/9/2025,524,52568
10/8/2025,525.25,21430
10/7/2025,524.75,24569
10/6/2025,530.25,22919
10/3/2025,532.5,20372
10/2/2025,532.5,25332
10/1/2025,527.5,32505
9/30/2025,527,41696
9/29/2025,537.75,16031
9/26/2025,538.25,22851
9/25/2025,545,19724
9/24/2025,538,20849
9/23/2025,539,22518
9/22/2025,529.5,27185
9/19/2025,540.75,17489
9/18/2025,542.5,14720
9/17/2025,546.25,24518
9/16/2025,551.75,17506
9/15/2025,542.75,17540
9/12/2025,523.5,55282
9/11/2025,521.5,64473
9/10/2025,515,36825
9/9/2025,520.25,34316
9/8/2025,523.75,50598
9/5/2025,519.25,41620
9/4/2025,519.5,70089
9/3/2025,522,62621
9/2/2025,528.25,83344
8/29/2025,534.25,68837
8/28/2025,529,68521
8/27/2025,524.25,82271
8/26/2025,531.75,71017
8/25/2025,529.75,70073
8/22/2025,527.25,72516
8/21/2025,529.75,96779
8/20/2025,528.25,94302
8/19/2025,521.25,71071
8/18/2025,525,80760
8/15/2025,527,61355
8/14/2025,524.5,72673
8/13/2025,528.25,78032
8/12/2025,526,104875
8/11/2025,535.5,69684
8/8/2025,535,63382
8/7/2025,539,63553
8/6/2025,529.25,51190
8/5/2025,528.5,40906
8/4/2025,537,47623
8/1/2025,537,40138
7/31/2025,542.5,51987
7/30/2025,544.25,42199
7/29/2025,550,44059
7/28/2025,558.75,22776
7/25/2025,558.25,17677
7/24/2025,561.25,32825
7/23/2025,561.25,28939
7/22/2025,569.5,33114
7/21/2025,563.25,22059
7/18/2025,567,39516
7/17/2025,554.25,27712
7/16/2025,561.75,26348
7/15/2025,558.75,19952
7/14/2025,541.5,52432
7/11/2025,545,67749
7/10/2025,554.5,52217
7/9/2025,547,46110
7/8/2025,547.75,57565
7/7/2025,548.5,65505
7/3/2025,556.75,77292
7/2/2025,564,86572
7/1/2025,549,96790
6/30/2025,538.25,65967
6/27/2025,540.75,59264
6/26/2025,536.75,73662
6/25/2025,544.5,68313
6/24/2025,552,91115
6/23/2025,569.5,95614
6/20/2025,583.5,81548
6/18/2025,590.5,118027
6/17/2025,565.5,66629
6/16/2025,552.25,66457
6/13/2025,559.25,77541
6/12/2025,541.75,65170
6/11/2025,549,56184
6/10/2025,548.75,67955
6/9/2025,557,65552
6/6/2025,568.75,55932
6/5/2025,559.75,31050
6/4/2025,557.25,33111
6/3/2025,550.5,36445
6/2/2025,553.25,36673
5/30/2025,548.25,24271
5/29/2025,548.75,21875
5/28/2025,545.5,30684
5/27/2025,544.25,29194
5/23/2025,558,32591
5/22/2025,560.5,49859
5/21/2025,563.75,33765
5/20/2025,559.75,31263
5/19/2025,543,24425
5/16/2025,539,18856
5/15/2025,546.5,27983
5/14/2025,524.75,62950
5/13/2025,517.25,78081
5/12/2025,515.25,82207
5/9/2025,521.75,57368
5/8/2025,529.25,53543
5/7/2025,534.25,58189
5/6/2025,536,54826
5/5/2025,531.25,63841
5/2/2025,543,67575
5/1/2025,531,55493
4/30/2025,530.75,87618
4/29/2025,525.5,77071
4/28/2025,531,99543
4/25/2025,545,54385
4/24/2025,544.5,61550
4/23/2025,543.5,51818
4/22/2025,550.25,62532
4/21/2025,552.25,41091
4/17/2025,562.25,52316
4/16/2025,561,70926
4/15/2025,556,68274
4/14/2025,561.75,75761
4/11/2025,570.25,101082
4/10/2025,553.5,101075
4/9/2025,555.75,69007
4/8/2025,554,75300
4/7/2025,550.5,65822
4/4/2025,542.75,45232
4/3/2025,550,44067
4/2/2025,552.75,33674
4/1/2025,553.75,34956
3/31/2025,550.5,43132
3/28/2025,542.75,50979
3/27/2025,547.25,37395
3/26/2025,551,32258
3/25/2025,559.75,30182
3/24/2025,565.25,26881
3/21/2025,574.5,19378
3/20/2025,573.5,30256
3/19/2025,580,24241
3/18/2025,582,26694
3/17/2025,585,37100
3/14/2025,557,60916
3/13/2025,562.5,76176
3/12/2025,554,70697
3/11/2025,556.75,51176
3/10/2025,562.5,74007
3/7/2025,551.25,57242
3/6/2025,554,84193
3/5/2025,548.25,84227
3/4/2025,536.75,112381
3/3/2025,547.75,89699
2/28/2025,555.75,69273
2/27/2025,562.5,87517
2/26/2025,579.75,75490
2/25/2025,587.75,84449
2/24/2025,593.5,73404
2/21/2025,604,56637
2/20/2025,600.25,56780
2/19/2025,606.5,77008
2/18/2025,617.75,95074
2/14/2025,613.5,83063
2/13/2025,592,76612
2/12/2025,588,87338
2/11/2025,590,86313
2/10/2025,592.5,78075
2/7/2025,595.5,78311
2/6/2025,598.75,54080
2/5/2025,584.5,57580
2/4/2025,588.75,45596
2/3/2025,578.5,43661
1/31/2025,572.25,35782
1/30/2025,579,40219
1/29/2025,576,36447
1/28/2025,558.75,36377
1/27/2025,549.75,27833
1/24/2025,558.75,30423
1/23/2025,567.75,21671
1/22/2025,567.25,31945
1/21/2025,571.5,35760
1/17/2025,550.75,17032
1/16/2025,549.5,15256
1/15/2025,558.75,20317
1/14/2025,558.25,22740
1/13/2025,556.75,25937
1/10/2025,543.5,48835
1/9/2025,546,18300
1/8/2025,548.5,26640
1/7/2025,554.5,13514
1/6/2025,552.5,17914
1/3/2025,541,28566
1/2/2025,557.5,17628
12/31/2024,562.5,8681
12/30/2024,559,14401
12/27/2024,556.75,12185
12/26/2024,552,10550
12/24/2024,545.25,9181
12/23/2024,551,15582
12/20/2024,542.75,17389
12/19/2024,543.5,23547
12/18/2024,551.75,17523
12/17/2024,554.5,22788
12/16/2024,561,23772
12/13/2024,552.25,49134
12/12/2024,558.5,52473
12/11/2024,563.25,55240
12/10/2024,561.75,50264
12/9/2024,558.75,49713
12/6/2024,557.25,55782
12/5/2024,558.25,54473
12/4/2024,548.25,52606
12/3/2024,547.5,49702
12/2/2024,547.25,53005
11/29/2024,548,47678
11/27/2024,548.5,75023
11/26/2024,558,78151
11/25/2024,555.75,82115
11/22/2024,564.75,61527
11/21/2024,569.5,58947
11/20/2024,572.25,60806
11/19/2024,567.75,65946
11/18/2024,565.75,71372
11/15/2024,554,71836
11/14/2024,548.25,87380
11/13/2024,556.5,92342
11/12/2024,567,82726
11/11/2024,580.5,83107
11/8/2024,587.5,81487
11/7/2024,589,75597
11/6/2024,591,33777
11/5/2024,591,37407
11/4/2024,587.5,27252
11/1/2024,587.75,24352
10/31/2024,590.25,24791
10/30/2024,593.5,30669
10/29/2024,590.5,30719
10/28/2024,579.5,23511
10/25/2024,589.25,23960
10/24/2024,600.75,25154
10/23/2024,598.25,24484
10/22/2024,596.25,17946
10/21/2024,592.25,28196
10/18/2024,592.5,31132
10/17/2024,609.5,36498
