Tenor,Tenor,Ticker,Period,Fair Value,Tenor,Ticker,Period,Last Price,Ticker,Spread
,Wheat USd/bu. Physical Future : Fair Value : Live Data (USd/bushel (60lb)),,,,Wheat USd/bu. Physical Future : Last Price : 12/10/2020 (USd/bushel (60lb)),,,,Wheat USd/bu. Physical Future : Last Price : 12/10/2020 - Wheat USd/bu. Physical Future : Fair Value : Live Data,
1M,,,,,1M,W Z20 COMB Comdty,12/2020,590.25,,
3M,,,,,3M,W H21 COMB Comdty,03/2021,596.5,,
5M,,,,,5M,W K21 COMB Comdty,05/2021,597.25,,
7M,,,,,7M,W N21 COMB Comdty,07/2021,595,,
9M,,,,,9M,W U21 COMB Comdty,09/2021,598,,
1Y,,,,,1Y,W Z21 COMB Comdty,12/2021,605,,
15M,,,,,15M,W H22 COMB Comdty,03/2022,611.75,,
17M,,,,,17M,W K22 COMB Comdty,05/2022,608.25,,
19M,,,,,19M,W N22 COMB Comdty,07/2022,593.5,,
21M,,,,,21M,W U22 COMB Comdty,09/2022,595.75,,
2Y,,,,,2Y,W Z22 COMB Comdty,12/2022,600.5,,
27M,,,,,27M,W H23 COMB Comdty,03/2023,608,,
29M,,,,,29M,W K23 COMB Comdty,05/2023,612.75,,
31M,,,,,31M,W N23 COMB Comdty,07/2023,593.25,,
5Y,5Y,W Z5 COMB Comdty,12/2025,535.7500639,,,,,,
63M,63M,W H6 COMB Comdty,03/2026,534.0000637,,,,,,
65M,65M,W K6 COMB Comdty,05/2026,541.5000646,,,,,,
67M,67M,W N6 COMB Comdty,07/2026,549.7500655,,,,,,
69M,69M,W U6 COMB Comdty,09/2026,561.875067,,,,,,
6Y,6Y,W Z6 COMB Comdty,12/2026,577.6250689,,,,,,
75M,75M,W H7 COMB Comdty,03/2027,590.7500704,,,,,,
77M,77M,W K7 COMB Comdty,05/2027,595.625071,,,,,,
79M,79M,W N7 COMB Comdty,07/2027,591.5000705,,,,,,
81M,81M,W U7 COMB Comdty,09/2027,597.5000712,,,,,,
7Y,7Y,W Z7 COMB Comdty,12/2027,611.2500729,,,,,,
87M,87M,W H8 COMB Comdty,03/2028,623.0000743,,,,,,
89M,89M,W K8 COMB Comdty,05/2028,626.2500747,,,,,,
91M,91M,W N8 COMB Comdty,07/2028,623.0000743,,,,,,
